participant	session	bids_run	run_id	stimulus	protocol_name	mapping_confidence
sub-042	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-042	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-043	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-043	ses-02	run-02	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-043	ses-02	run-05	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-043	ses-02	run-06	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-043	ses-02	run-09	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-043	ses-02	run-10	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-043	ses-02	run-13	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-043	ses-02	run-14	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-044	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-044	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-044	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-044	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-044	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-044	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-044	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-044	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-045	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-045	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-045	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-045	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-046	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-046	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-046	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-046	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-046	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-046	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-046	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-046	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-047	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-047	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-047	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-047	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-047	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-047	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-047	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-047	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-048	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-048	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
