subject	session	changed_voxel_percentage	changed_voxel_count	mean_difference	max_difference
sub-025	ses-01	33.59561298076923	6708372.0	85.94621625104418	4095.0
sub-025	ses-01	23.941341062792304	2306459.0	2.5099457799374063	471.0
sub-025	ses-02	25.552338741987178	5102291.0	77.59988813468523	4095.0
sub-025	ses-02	25.548918269230768	5101608.0	64.784790461592	4095.0
sub-025	ses-02	25.12536081327062	2420525.0	2.5222231939439843	336.0
sub-026	ses-01	25.70099659455128	5131975.0	124.00245718246053	4095.0
sub-026	ses-01	25.54362479967949	5100551.0	128.32455040841248	4095.0
sub-026	ses-01	20.40921165829613	1966181.0	2.5593860200122105	287.0
sub-026	ses-02	19.53749499198718	3901247.0	60.23948532057639	4095.0
sub-026	ses-02	19.563131009615386	3906366.0	56.62091625204687	4095.0
sub-026	ses-02	23.067178531568878	2222244.0	2.579222772114044	220.0
sub-027	ses-01	28.39796674679487	5670506.0	104.01208584583976	4095.0
sub-027	ses-01	28.49766626602564	5690414.0	100.74202524318197	4095.0
sub-027	ses-01	15.756806873139881	1517978.0	1.7630845627741802	232.0
sub-027	ses-02	25.930618990384616	5177826.0	108.53533606578743	4095.0
sub-027	ses-02	26.23143529647436	5237893.0	104.6013784284299	4095.0
sub-027	ses-02	18.44761647334715	1777205.0	2.1134509631808354	308.0
sub-028	ses-01	29.831029647435898	5956660.0	145.03357581106908	4095.0
sub-028	ses-01	29.855829326923075	5961612.0	144.98181187269222	4095.0
sub-028	ses-01	20.550734331818663	1979815.0	3.3622572314331576	634.0
sub-028	ses-02	22.19073016826923	4431045.0	102.4592522299934	4095.0
sub-028	ses-02	22.294991987179486	4451864.0	85.28865308459757	4095.0
sub-028	ses-02	17.204751773756378	1657470.0	2.760006098319362	476.0
sub-029	ses-01	22.86943108974359	4566568.0	104.33385615980104	4095.0
sub-029	ses-01	22.805133213141026	4553729.0	99.98140949032398	4095.0
sub-029	ses-01	17.822618549372873	1716994.0	2.0046762391539517	324.0
sub-029	ses-02	29.12677784455128	5816035.0	157.98332904611337	4095.0
sub-029	ses-02	29.130348557692308	5816748.0	175.26614105973468	4095.0
sub-029	ses-02	22.364817509034864	2154580.0	2.556352610298612	343.0
sub-030	ses-01	27.962540064102566	5583560.0	112.63490094565418	4095.0
sub-030	ses-01	28.157777443910255	5622545.0	111.97079382459924	4095.0
sub-030	ses-01	23.377492476482782	2252139.0	1.6394446831960583	322.0
sub-030	ses-02	31.757246594551283	6341287.0	169.4440519153379	4095.0
sub-030	ses-02	31.834069511217947	6356627.0	172.54008521774938	4095.0
sub-030	ses-02	25.801408209768283	2485654.0	2.8048008430538434	286.0
sub-031	ses-01	26.07599158653846	5206854.0	74.13600858048608	4095.0
sub-031	ses-01	25.81170873397436	5154082.0	69.59164250797406	4095.0
sub-031	ses-01	27.2390975433142	2624158.0	3.0282110192093223	385.0
sub-031	ses-02	33.41455829326923	6672219.0	80.52850078997966	4095.0
sub-031	ses-02	33.33405949519231	6656145.0	69.86914663169715	4095.0
sub-031	ses-02	31.277289358126062	3013189.0	3.091352297765944	298.0
sub-032	ses-01	27.33008313301282	5457271.0	78.00032445077775	4095.0
sub-032	ses-01	27.2579827724359	5442874.0	82.36806676100663	4095.0
sub-032	ses-01	31.629798525855655	3047149.0	3.7911693457628775	441.0
sub-033	ses-01	25.701867988782052	5132149.0	130.1702207393066	4095.0
sub-033	ses-01	25.87137920673077	5165997.0	133.55738209096384	4095.0
sub-034	ses-01	34.43932792467949	6876845.0	107.4932107793985	4095.0
sub-034	ses-01	34.31884014423077	6852786.0	108.60430610250705	4095.0
sub-034	ses-01	30.339538159013607	2922848.0	4.339811191184746	517.0
sub-034	ses-02	34.99167167467949	6987137.0	103.2058265465649	4095.0
sub-034	ses-02	35.092708333333334	7007312.0	92.03475416273595	4095.0
sub-034	ses-02	33.58519677402211	3235528.0	4.4285363700719484	505.0
sub-035	ses-01	25.886207932692308	5168958.0	139.06718493559703	4095.0
sub-035	ses-01	25.695958533653847	5130969.0	140.5067255821688	4095.0
sub-035	ses-01	22.502354213169642	2167830.0	2.746891480865712	322.0
sub-035	ses-02	27.297706330128204	5450806.0	124.96574503588835	4095.0
sub-035	ses-02	27.34246794871795	5459744.0	115.46596235663506	4095.0
sub-035	ses-02	23.907065878109055	2303157.0	2.6522862182001052	238.0
sub-036	ses-01	25.528165064102563	5097464.0	76.56767287437307	4095.0
sub-036	ses-01	25.569125600961538	5105643.0	69.72964192167584	4095.0
sub-036	ses-01	20.061228226642218	1932657.0	2.3289438299087672	312.0
sub-036	ses-02	25.056510416666665	5003284.0	69.32759166189211	4095.0
sub-036	ses-02	24.97265124198718	4986539.0	61.67022950656631	4095.0
sub-036	ses-02	22.135800731425384	2132517.0	2.4513256395917993	260.0
sub-037	ses-01	21.500165264423078	4293153.0	156.53846086690356	4095.0
sub-037	ses-01	20.823943309294872	4158125.0	131.7621743323785	4095.0
sub-037	ses-01	11.262626388446003	1085018.0	1.733534226868815	317.0
sub-038	ses-01	26.161553485576924	5223939.0	164.71594793266937	4095.0
sub-038	ses-01	24.98693409455128	4989391.0	146.4674789345755	4095.0
sub-038	ses-01	16.600597148038904	1599267.0	2.1859795551937085	518.0
sub-038	ses-02	24.34190204326923	4860591.0	192.34221235174485	4095.0
sub-038	ses-02	23.71287560096154	4734987.0	170.93559500776226	4095.0
sub-038	ses-02	15.256495054076318	1469779.0	2.138445611513353	692.0
sub-039	ses-01	24.90391626602564	4972814.0	82.35687279059299	4095.0
sub-039	ses-01	25.233047876602566	5038535.0	71.29494858298064	4095.0
sub-039	ses-01	19.80164197026467	1907649.0	2.224335441221174	261.0
sub-039	ses-02	23.71277043269231	4734966.0	81.51659018282297	4095.0
sub-039	ses-02	24.056189903846153	4803540.0	65.75515496618779	4095.0
sub-039	ses-02	19.150714485012756	1844940.0	2.0919028656300798	279.0
sub-040	ses-01	22.652974759615386	4523346.0	164.16194257024026	4095.0
sub-040	ses-01	23.542202524038462	4700907.0	166.9770738522839	4095.0
sub-040	ses-01	12.904399430670706	1243183.0	1.786042601894999	307.0
sub-040	ses-02	19.215274439102565	3836906.0	143.34212448784112	4095.0
sub-040	ses-02	19.74297876602564	3942278.0	137.89996635731836	4095.0
sub-040	ses-02	14.950821026652848	1440331.0	2.371901922009472	343.0
sub-041	ses-01	33.83740985576923	6756654.0	83.09510751946972	4095.0
sub-041	ses-01	33.7353766025641	6736280.0	86.2319561196836	4095.0
sub-041	ses-01	34.214637393043155	3296167.0	3.4064746997018047	351.0
sub-041	ses-02	35.683268229166664	7125235.0	84.10612807576425	4095.0
sub-041	ses-02	35.29870292467949	7048445.0	81.6183191543573	4095.0
sub-041	ses-02	30.01751542902317	2891825.0	2.8451987215086136	319.0
