scan_id	subject	session	run	protocol_id	status	review_class	mean_length	axis_flipped	axis_permutations	axis_basis
sub-022_ses-01_run-01_dwi	sub-022	ses-01	run-01	Protocol A	PASS	none	42.36	none	(0,1,2)	scanner
sub-022_ses-01_run-02_dwi	sub-022	ses-01	run-02	Protocol A	REVIEW	axis_flip_and_swap	33.39	2	(1,0,2)	scanner
sub-022_ses-01_run-05_dwi	sub-022	ses-01	run-05	Protocol B	PASS	none	38.10	none	(0,1,2)	image
sub-022_ses-02_run-01_dwi	sub-022	ses-02	run-01	Protocol A	PASS	none	56.01	none	(0,1,2)	scanner
sub-022_ses-02_run-02_dwi	sub-022	ses-02	run-02	Protocol A	REVIEW	axis_swap	85.33	none	(1,2,0)	scanner
sub-022_ses-02_run-05_dwi	sub-022	ses-02	run-05	Protocol B	PASS	none	39.14	none	(0,1,2)	image
sub-023_ses-01_run-01_dwi	sub-023	ses-01	run-01	Protocol A	PASS	none	41.93	none	(0,1,2)	scanner
sub-023_ses-01_run-02_dwi	sub-023	ses-01	run-02	Protocol A	REVIEW	axis_flip_and_swap	66.44	2	(1,0,2)	scanner
sub-023_ses-01_run-05_dwi	sub-023	ses-01	run-05	Protocol B	PASS	none	49.17	none	(0,1,2)	scanner
sub-023_ses-02_run-01_dwi	sub-023	ses-02	run-01	Protocol A	PASS	none	43.66	none	(0,1,2)	image
sub-023_ses-02_run-02_dwi	sub-023	ses-02	run-02	Protocol A	REVIEW	axis_flip_and_swap	22.45	2	(1,2,0)	scanner
sub-023_ses-02_run-05_dwi	sub-023	ses-02	run-05	Protocol B	PASS	none	41.66	none	(0,1,2)	image
sub-024_ses-02_run-01_dwi	sub-024	ses-02	run-01	Protocol A	PASS	none	48.48	none	(0,1,2)	scanner
sub-024_ses-02_run-02_dwi	sub-024	ses-02	run-02	Protocol A	REVIEW	axis_flip_and_swap	19.65	1	(2,1,0)	image
sub-024_ses-02_run-05_dwi	sub-024	ses-02	run-05	Protocol B	PASS	none	44.86	none	(0,1,2)	image
sub-025_ses-01_run-01_dwi	sub-025	ses-01	run-01	Protocol C	PASS	none	46.00	none	(0,1,2)	image
sub-025_ses-01_run-02_dwi	sub-025	ses-01	run-02	Protocol C	REVIEW	axis_flip	14.06	2	(0,1,2)	image
sub-025_ses-01_run-03_dwi	sub-025	ses-01	run-03	Protocol A	PASS	none	42.78	none	(0,1,2)	scanner
sub-025_ses-01_run-04_dwi	sub-025	ses-01	run-04	Protocol A	REVIEW	axis_flip_and_swap	15.82	1	(1,0,2)	image
sub-025_ses-01_run-07_dwi	sub-025	ses-01	run-07	Protocol B	PASS	none	43.45	none	(0,1,2)	scanner
