scan_id	subject	session	run	protocol_id	mask_file_present	mask_voxels	voxel_volume_mm3	brain_volume_mm3	brain_fraction
sub-019_ses-02_run-02_dwi	sub-019	ses-02	run-02	Protocol A	False	1055071.0	5.0	5275355.0	0.7266329201101929
sub-019_ses-02_run-05_dwi	sub-019	ses-02	run-05	Protocol B	False	161707.0	3.440937599167228	556423.696348535	0.197396240234375
sub-020_ses-01_run-01_dwi	sub-020	ses-01	run-01	Protocol A	False	240235.0	5.0	1201175.0	0.1654511019283746
sub-020_ses-01_run-02_dwi	sub-020	ses-01	run-02	Protocol A	False	1196394.0	5.0	5981970.0	0.8239628099173554
sub-020_ses-01_run-05_dwi	sub-020	ses-01	run-05	Protocol B	False	149266.0	3.440937599167228	513614.9916772955	0.18220947265625
sub-021_ses-01_run-01_dwi	sub-021	ses-01	run-01	Protocol A	False	247733.0	5.0	1238665.0	0.1706150137741046
sub-021_ses-01_run-02_dwi	sub-021	ses-01	run-02	Protocol A	False	528382.0	5.0	2641910.0	0.3638994490358126
sub-021_ses-01_run-05_dwi	sub-021	ses-01	run-05	Protocol B	False	185721.0	3.440937599167228	639054.3718549368	0.226710205078125
sub-021_ses-02_run-01_dwi	sub-021	ses-02	run-01	Protocol A	False	243193.0	5.0	1215965.0	0.1674882920110192
sub-021_ses-02_run-02_dwi	sub-021	ses-02	run-02	Protocol A	False	1111131.0	5.0	5555655.0	0.7652417355371901
sub-021_ses-02_run-05_dwi	sub-021	ses-02	run-05	Protocol B	False	168262.0	3.440937599167228	578979.0423110762	0.20539794921875
sub-022_ses-01_run-01_dwi	sub-022	ses-01	run-01	Protocol A	False	259254.0	5.0	1296270.0	0.1785495867768595
sub-022_ses-01_run-02_dwi	sub-022	ses-01	run-02	Protocol A	False	372794.0	5.0	1863970.0	0.2567451790633608
sub-022_ses-01_run-05_dwi	sub-022	ses-01	run-05	Protocol B	False	166156.0	3.440937599167228	571732.42772723	0.2028271484375
sub-022_ses-02_run-01_dwi	sub-022	ses-02	run-01	Protocol A	False	257695.0	5.0	1288475.0	0.1774758953168044
sub-022_ses-02_run-02_dwi	sub-022	ses-02	run-02	Protocol A	False	274236.0	5.0	1371180.0	0.1888677685950413
sub-022_ses-02_run-05_dwi	sub-022	ses-02	run-05	Protocol B	False	111856.0	3.4409373737871642	384889.49088233704	0.13654296875
sub-023_ses-01_run-01_dwi	sub-023	ses-01	run-01	Protocol A	False	231263.0	5.0	1156315.0	0.1592720385674931
