subject	session	run	nifti	status	median_b0	median_diffusion	p05_b0	p95_b0	p05_diffusion	p95_diffusion	cv_b0	cv_diffusion	n_mask_voxels	brain_fraction	error
sub-023	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-023/ses-02/dwi/sub-023_ses-02_run-05_dwi.nii.gz	NO_MASK											
sub-024	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-024/ses-02/dwi/sub-024_ses-02_run-01_dwi.nii.gz	NO_MASK											
sub-024	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-024/ses-02/dwi/sub-024_ses-02_run-02_dwi.nii.gz	NO_MASK											
sub-024	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-024/ses-02/dwi/sub-024_ses-02_run-05_dwi.nii.gz	NO_MASK											
sub-025	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-025/ses-01/dwi/sub-025_ses-01_run-01_dwi.nii.gz	NO_MASK											
sub-025	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-025/ses-01/dwi/sub-025_ses-01_run-02_dwi.nii.gz	NO_MASK											
sub-025	ses-01	run-03	/lustre07/scratch/alexrees/bids/sub-025/ses-01/dwi/sub-025_ses-01_run-03_dwi.nii.gz	NO_MASK											
sub-025	ses-01	run-04	/lustre07/scratch/alexrees/bids/sub-025/ses-01/dwi/sub-025_ses-01_run-04_dwi.nii.gz	NO_MASK											
sub-025	ses-01	run-07	/lustre07/scratch/alexrees/bids/sub-025/ses-01/dwi/sub-025_ses-01_run-07_dwi.nii.gz	NO_MASK											
sub-025	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-025/ses-02/dwi/sub-025_ses-02_run-01_dwi.nii.gz	NO_MASK											
sub-025	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-025/ses-02/dwi/sub-025_ses-02_run-02_dwi.nii.gz	NO_MASK											
sub-025	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-025/ses-02/dwi/sub-025_ses-02_run-05_dwi.nii.gz	NO_MASK											
sub-026	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-026/ses-01/dwi/sub-026_ses-01_run-01_dwi.nii.gz	NO_MASK											
sub-026	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-026/ses-01/dwi/sub-026_ses-01_run-02_dwi.nii.gz	NO_MASK											
sub-026	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-026/ses-01/dwi/sub-026_ses-01_run-05_dwi.nii.gz	NO_MASK											
sub-026	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-026/ses-02/dwi/sub-026_ses-02_run-01_dwi.nii.gz	NO_MASK											
sub-026	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-026/ses-02/dwi/sub-026_ses-02_run-02_dwi.nii.gz	NO_MASK											
sub-026	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-026/ses-02/dwi/sub-026_ses-02_run-05_dwi.nii.gz	NO_MASK											
sub-027	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-027/ses-01/dwi/sub-027_ses-01_run-01_dwi.nii.gz	NO_MASK											
sub-027	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-027/ses-01/dwi/sub-027_ses-01_run-02_dwi.nii.gz	NO_MASK											
sub-027	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-027/ses-01/dwi/sub-027_ses-01_run-05_dwi.nii.gz	NO_MASK											
sub-027	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-027/ses-02/dwi/sub-027_ses-02_run-01_dwi.nii.gz	NO_MASK											
sub-027	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-027/ses-02/dwi/sub-027_ses-02_run-02_dwi.nii.gz	NO_MASK											
sub-027	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-027/ses-02/dwi/sub-027_ses-02_run-05_dwi.nii.gz	OK	556.0	227.0	332.0	912.0	46.0	365.0	0.3277313096443571	0.42130658432508156	170580	0.2082275390625	
sub-028	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-028/ses-01/dwi/sub-028_ses-01_run-01_dwi.nii.gz	OK	329.0	102.0	165.0	793.0	25.0	238.0	0.6601064763634441	0.6592296502311263	254519	0.17528856749311295	
sub-028	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-028/ses-01/dwi/sub-028_ses-01_run-02_dwi.nii.gz	OK	-18.0	38.0	-3594.0	3590.0	-3670.0	3668.0	-123.82316137104264	61.42662357185107	1107952	0.7630523415977961	
sub-028	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-028/ses-01/dwi/sub-028_ses-01_run-05_dwi.nii.gz	OK	624.0	273.0	384.0	1023.0	67.0	417.0	0.3249915980876267	0.38279752687362917	226519	0.276512451171875	
sub-028	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-028/ses-02/dwi/sub-028_ses-02_run-01_dwi.nii.gz	OK	313.0	98.0	139.0	789.0	21.0	232.0	0.7288191004208652	0.686285182808984	278004	0.19146280991735537	
sub-028	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-028/ses-02/dwi/sub-028_ses-02_run-02_dwi.nii.gz	OK	-180.0	20.0	-3742.0	3562.0	-3688.0	3680.0	-12.760778828669945	117.80946033286175	1114074	0.7672685950413223	
sub-028	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-028/ses-02/dwi/sub-028_ses-02_run-05_dwi.nii.gz	OK	521.0	229.0	310.0	804.0	55.0	356.0	0.30351493763973436	0.3896016383011807	210520	0.256982421875	
sub-029	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-029/ses-01/dwi/sub-029_ses-01_run-01_dwi.nii.gz	OK	292.0	91.0	150.0	712.0	21.0	213.0	0.6770538189055363	0.6616125972847815	262857	0.1810309917355372	
sub-029	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-029/ses-01/dwi/sub-029_ses-01_run-02_dwi.nii.gz	OK	2486.0	1718.0	-3660.0	3858.0	-3778.0	3810.0	0.7729050876715574	1.4653381649680104	452268	0.3114793388429752	
sub-029	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-029/ses-01/dwi/sub-029_ses-01_run-05_dwi.nii.gz	OK	629.0	274.0	412.0	1016.0	64.0	415.0	0.3075481756211931	0.37460800371866815	185257	0.226143798828125	
sub-029	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-029/ses-02/dwi/sub-029_ses-02_run-01_dwi.nii.gz	OK	270.0	85.0	139.0	627.0	20.0	199.0	0.6091372874679585	0.6623732606622089	254727	0.1754318181818182	
sub-029	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-029/ses-02/dwi/sub-029_ses-02_run-02_dwi.nii.gz	OK	-356.0	-88.0	-3846.0	3812.0	-3742.0	3726.0	-7.2436316226875475	-27.799636198121178	1210080	0.8333884297520661	
sub-029	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-029/ses-02/dwi/sub-029_ses-02_run-05_dwi.nii.gz	OK	542.0	236.0	342.0	876.0	55.0	359.0	0.3131909951642695	0.38066082637079196	178619	0.218040771484375	
sub-030	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-030/ses-01/dwi/sub-030_ses-01_run-01_dwi.nii.gz	OK	269.0	87.0	134.15000000002328	589.0	22.0	186.0	0.5638907311045347	0.5876480418805068	235219	0.1619965564738292	
sub-030	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-030/ses-01/dwi/sub-030_ses-01_run-02_dwi.nii.gz	OK	3052.0	1978.0	-3870.0	3948.0	-3832.0	3858.0	0.7049700842751901	1.3552423322905403	260595	0.17947314049586777	
sub-030	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-030/ses-01/dwi/sub-030_ses-01_run-05_dwi.nii.gz	OK	582.0	252.0	368.0	938.0	56.0	389.0	0.31158974726054756	0.3881645135672957	143860	0.1756103515625	
