subject	session	mask_voxels	brain_fraction
sub-052	ses-01	572611.0	0.3943601928374655
sub-052	ses-01	195376.0	0.23849609375
sub-052	ses-02	249296.0	0.1716914600550964
sub-052	ses-02	1095672.0	0.754595041322314
sub-052	ses-02	205428.0	0.2507666015625
sub-053	ses-01	246888.0	0.1700330578512396
sub-053	ses-01	1167007.0	0.803723829201102
sub-053	ses-01	157839.0	0.192674560546875
sub-054	ses-01	270151.0	0.1860544077134986
sub-054	ses-01	1180139.0	0.8127679063360882
sub-054	ses-01	130287.0	0.159041748046875
sub-054	ses-02	248563.0	0.1711866391184573
sub-054	ses-02	142727.0	0.174227294921875
sub-056	ses-01	275069.0	0.1894414600550964
sub-056	ses-01	186218.0	0.22731689453125
sub-057	ses-01	245322.0	0.1689545454545454
sub-057	ses-01	270201.0	0.1860888429752066
sub-057	ses-01	169393.0	0.206778564453125
sub-058	ses-01	243917.0	0.1679869146005509
sub-058	ses-01	477039.0	0.3285392561983471
sub-058	ses-01	202712.0	0.247451171875
sub-059	ses-01	244063.0	0.1680874655647383
sub-059	ses-01	1224890.0	0.8435881542699725
sub-059	ses-01	184987.0	0.225814208984375
sub-060	ses-01	243038.0	0.1673815426997245
sub-060	ses-01	358935.0	0.2472004132231404
sub-060	ses-01	113704.0	0.138798828125
sub-061	ses-01	237341.0	0.1634579889807162
sub-061	ses-01	98542.0	0.12029052734375
sub-061	ses-01	181826.0	0.22195556640625
sub-062	ses-01	211227.0	0.257845458984375
sub-062	ses-01	273709.0	0.1885048209366391
sub-063	ses-01	191078.0	0.23324951171875
sub-063	ses-01	235844.0	0.162426997245179
sub-064	ses-01	287812.0	0.1982176308539945
sub-064	ses-01	261912.0	0.1803801652892562
sub-064	ses-01	269004.0	0.3283740234375
sub-065	ses-01	277464.0	0.1910909090909091
sub-065	ses-01	442591.0	0.304814738292011
sub-065	ses-01	194490.0	0.23741455078125
sub-066	ses-01	199094.0	0.1371170798898071
sub-066	ses-01	1170842.0	0.8063650137741046
sub-066	ses-01	137469.0	0.167808837890625
sub-067	ses-01	231393.0	0.1593615702479338
sub-067	ses-01	209715.0	0.255999755859375
sub-068	ses-01	270528.0	0.1863140495867768
sub-068	ses-01	1142327.0	0.7867265840220385
sub-068	ses-01	197360.0	0.24091796875
sub-069	ses-01	265552.0	0.1828870523415978
sub-069	ses-01	1191819.0	0.8208119834710744
sub-069	ses-01	220352.0	0.268984375
sub-071	ses-01	222058.0	0.1529325068870523
sub-071	ses-01	1101252.0	0.7584380165289256
sub-071	ses-01	209207.0	0.255379638671875
sub-072	ses-01	273715.0	0.188508953168044
sub-072	ses-01	1163855.0	0.8015530303030303
sub-072	ses-01	257496.0	0.314326171875
sub-073	ses-01	268985.0	0.1852513774104683
sub-073	ses-01	426910.0	0.2940151515151515
sub-073	ses-01	148148.0	0.1808447265625
sub-074	ses-01	303446.0	0.2089848484848485
sub-074	ses-01	466258.0	0.3211143250688705
sub-074	ses-01	219656.0	0.268134765625
sub-075	ses-01	251100.0	0.1729338842975206
sub-075	ses-01	1180378.0	0.8129325068870523
sub-075	ses-01	189635.0	0.231488037109375
sub-076	ses-01	285701.0	0.1967637741046832
sub-076	ses-01	1178321.0	0.8115158402203857
sub-076	ses-01	227808.0	0.2780859375
sub-077	ses-01	242114.0	0.1667451790633609
sub-077	ses-01	440038.0	0.3030564738292011
