subject	session	mean_signal	median_signal	std_signal	mean_b0_signal	mean_diffusion_signal
sub-019	ses-01	423.6830139160156	363.0	278.1419677734375	779.0965576171875	294.44171142578125
sub-019	ses-02	118.5726547241211	99.0	101.7199478149414	385.69769287109375	103.93567657470705
sub-019	ses-02	80.25456237792969	168.0	2293.0205078125	-1.342004895210266	84.72560119628906
sub-019	ses-02	312.47119140625	269.0	203.0056304931641	571.1904907226562	218.3914337158203
sub-020	ses-01	109.45923614501952	95.0	73.90045166015625	289.7124938964844	99.58233642578124
sub-020	ses-01	158.41819763183594	338.0	2325.447998046875	268.4545288085937	152.38882446289062
sub-020	ses-01	438.8760681152344	380.0	251.4563140869141	769.10107421875	318.79425048828125
sub-021	ses-01	104.01361083984376	87.0	86.00587463378906	328.9934997558594	91.68595123291016
sub-021	ses-01	420.0281677246094	804.0	2328.867431640625	1150.21240234375	380.0180969238281
sub-021	ses-01	343.9501647949219	297.0	204.0043182373047	610.1897583007812	247.1357421875
sub-021	ses-02	105.33216094970705	89.0	83.39794158935547	324.54345703125	93.3205795288086
sub-021	ses-02	64.74960327148438	128.0	2311.103271484375	104.16881561279295	62.589637756347656
sub-021	ses-02	325.3876647949219	284.0	191.3305053710937	573.8653564453125	235.0321502685547
sub-022	ses-01	99.62723541259766	85.0	74.17414093017578	300.1302490234375	88.64077758789062
sub-022	ses-01	739.6597290039062	1308.0	2308.946044921875	1441.8116455078125	701.1857299804688
sub-022	ses-01	300.51251220703125	259.0	183.60763549804688	538.2034912109375	214.07945251464844
sub-022	ses-02	95.3470230102539	82.0	71.90361022949219	292.0904235839844	84.5665512084961
sub-022	ses-02	839.8414306640625	1966.0	2718.46142578125	2418.620361328125	753.3330688476562
sub-022	ses-02	308.365234375	268.0	197.0074005126953	562.00830078125	216.1313934326172
sub-023	ses-01	104.21405029296876	92.0	73.77949523925781	295.9812927246094	93.7062530517578
sub-023	ses-01	673.9342041015625	1272.0	2381.248291015625	1774.8453369140625	613.6102905273438
sub-023	ses-01	327.47711181640625	283.0	184.20201110839844	572.7990112304688	238.2691345214844
sub-023	ses-02	109.78327178955078	94.0	77.90624237060547	313.0519104003906	98.64527130126952
sub-023	ses-02	94.6432876586914	216.0	2338.69873046875	184.14488220214844	89.73909759521484
sub-023	ses-02	315.0968017578125	274.0	182.03895568847656	551.97705078125	228.95851135253903
sub-024	ses-02	100.2098617553711	87.0	81.15947723388672	311.1806030273437	88.64982604980469
sub-024	ses-02	-43.43236541748047	-76.0	2445.110107421875	-283.5584716796875	-30.27476501464844
sub-024	ses-02	290.77740478515625	251.0	170.8553466796875	514.4935913085938	209.42605590820312
sub-025	ses-01	133.94085693359375	106.0	111.40963745117188	340.4061889648437	105.2651138305664
sub-025	ses-01	10.924830436706545	28.0	2314.1845703125	-78.13101196289062	23.29369354248047
sub-025	ses-01	117.6985855102539	109.0	86.83448791503906	342.2880859375	105.3923110961914
sub-025	ses-01	-0.4520637094974518	16.0	2321.072021484375	-129.180908203125	6.601572513580322
sub-025	ses-01	323.4712829589844	281.0	184.75352478027344	566.6707153320312	235.03512573242188
sub-025	ses-02	113.76153564453124	106.0	81.37541961669922	324.1327819824219	102.2343292236328
sub-025	ses-02	801.0908203125	1584.0	2457.396728515625	1927.315673828125	739.3798217773438
sub-025	ses-02	359.2329406738281	312.0	203.6164703369141	628.991455078125	261.1388854980469
sub-026	ses-01	114.86150360107422	114.0	87.42009735107422	339.6512451171875	102.54425048828124
sub-026	ses-01	731.0782470703125	1800.0	2712.99169921875	2100.962890625	656.0160522460938
sub-026	ses-01	390.0629577636719	338.0	242.1602783203125	703.635498046875	276.0365905761719
sub-026	ses-02	107.67454528808594	106.0	82.99604034423828	320.64093017578125	96.00515747070312
sub-026	ses-02	-82.17134857177734	-126.0	2444.350830078125	-348.29052734375	-67.5894775390625
sub-026	ses-02	363.2545471191406	312.0	226.607421875	656.8116455078125	256.5065612792969
