subject	session	run	nifti	n_diffusion	unique_bvals	top_mean_length	top_axis_flipped	top_axis_permutation	top_axis_basis	suggestion_class	identity_mean_length	identity_rank	delta_best_minus_identity	n_table_rows_parsed
sub-048	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-048/ses-02/dwi/sub-048_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	19.04	none	(1, 0, 2)	scanner	axis_swap	17.01	6	2.0299999999999976	48
sub-050	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-050/ses-01/dwi/sub-050_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	25.39	1	(1, 2, 0)	scanner	axis_flip_and_swap	15.85	30	9.540000000000001	48
sub-051	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-051/ses-01/dwi/sub-051_ses-01_run-01_dwi.nii.gz	365	0,1000,2000	35.13	0	(0, 2, 1)	scanner	axis_flip_and_swap	34.16	1	0.970000000000006	48
sub-051	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-051/ses-01/dwi/sub-051_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	26.72	1	(0, 1, 2)	scanner	axis_flip	19.13	9	7.59	48
sub-051	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-051/ses-01/dwi/sub-051_ses-01_run-05_dwi.nii.gz	11	0,1000	30.76	1	(2, 1, 0)	image	axis_flip_and_swap	28.01	2	2.75	48
sub-052	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-052/ses-01/dwi/sub-052_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	75.89	0	(2, 1, 0)	image	axis_flip_and_swap	57.49	30	18.4	48
sub-052	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-052/ses-02/dwi/sub-052_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	17.33	1	(1, 0, 2)	scanner	axis_flip_and_swap	13.38	29	3.9499999999999975	48
sub-053	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-053/ses-01/dwi/sub-053_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	14.82	0	(0, 2, 1)	image	axis_flip_and_swap	12.63	9	2.1899999999999995	48
sub-054	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-054/ses-01/dwi/sub-054_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	26.22	0	(1, 2, 0)	scanner	axis_flip_and_swap	15.43	29	10.79	48
sub-058	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-058/ses-01/dwi/sub-058_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	44.08	1	(1, 0, 2)	image	axis_flip_and_swap	36.47	10	7.609999999999999	48
sub-059	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-059/ses-01/dwi/sub-059_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	18.73	2	(0, 2, 1)	scanner	axis_flip_and_swap	16.59	3	2.1400000000000006	48
sub-060	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-060/ses-01/dwi/sub-060_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	35.28	1	(0, 2, 1)	scanner	axis_flip_and_swap	21.84	32	13.440000000000001	48
sub-064	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-064/ses-01/dwi/sub-064_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	71.36	0	(1, 2, 0)	image	axis_flip_and_swap	63.15	11	8.21	48
sub-065	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-065/ses-01/dwi/sub-065_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	63.13	0	(2, 0, 1)	scanner	axis_flip_and_swap	51.7	13	11.43	48
sub-066	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-066/ses-01/dwi/sub-066_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	22.94	2	(2, 1, 0)	image	axis_flip_and_swap	16.47	24	6.470000000000002	48
sub-068	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-068/ses-01/dwi/sub-068_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	20.45	2	(1, 2, 0)	scanner	axis_flip_and_swap	16.34	6	4.109999999999999	48
