archive_path	internal_filename	reason_flagged	possible_timing_relevance
<RAW>/Control/SUBC48_Session01_2024SEP20/SUBC48-session1-recording.zip	SUBC48-session1-recording/SUBC048_Session01_fmri_Events.txt	event	MEDIUM
<RAW>/Control/SUBC49_Session01_2024SEP19/SUBC049_Session01_2024SEP19-data.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC49_Session01_2024SEP19/SUBC049_Session01_2024SEP19_EyeTracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC52_SESSION01_2024NOV05/SUBC52-DICOM.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC09-Session1-2023JUN08/SUBC09_Session01_2023JUN08_EyeTracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC20-Session1_2023SEP07/SUBC20_2023SEP07_EyeTracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC08-Session2-2023DEC11/SUBC08-Session2-EyeTracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC42_Session02_2024NOV08/SUBC042_Session02_2024NOV08_eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC16-SESSION2-2024FEB07/SUBC016-Session02-2023FEB07_Eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC53_Session02_2025MAY05/SUBC53_Session02_2025MAY05_eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC28-Session2-2024JUL13/SUBC28-Session2-2024JUL13-Eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_EYETRACKING.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC037_Session02_2024AUG30/Eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC36_Session02_2024AUG24/eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC25-Session01-2023NOV08/SUBC25-SESSION01-2023OCT19-recording.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC48_SESSION02_2025MARCH17/eyetracking.zip		archive_too_large_skipped	UNKNOWN
<RAW>/Control/SUBC37_SESSION01_29FEB2024/SUBC37_Session01_29FEB2024_eyetracking.zip		archive_too_large_skipped	UNKNOWN
