iqm	family	split	split_value	n	n_total	missing	missing_pct	mean	sd	median	iqr	min	max	p01	p99	variance	zero_variance	near_zero_variance
summary_csf_median	intensity_summary	all	all	380	380	0	0.0	11920.363157894737	19570.59028747529	425.0	21439.0	299.0	72113.0	309.0	67190.18	383008004.2002222	False	False
summary_csf_median	intensity_summary	sequence_group	T1w	264	264	0	0.0	398.07954545454544	47.95567224190305	396.5	68.25	299.0	542.0	308.63	519.96	2299.746500172831	False	False
summary_csf_median	intensity_summary	sequence_group	WMn	116	116	0	0.0	38143.49137931035	16243.341630125513	34209.5	28493.0	12080.0	72113.0	12413.95	68573.4	263846147.31296855	False	False
summary_csf_median	intensity_summary	cohort	Control	277	277	0	0.0	12183.5559566787	19720.356540782657	430.0	21640.0	299.0	72113.0	308.76	67515.36000000002	388892462.0955894	False	False
summary_csf_median	intensity_summary	cohort	Glaucoma	74	74	0	0.0	13335.175675675675	21414.46596864232	407.0	28288.5	321.0	67178.0	323.92	63511.93999999998	458579352.72214	False	False
summary_csf_median	intensity_summary	cohort	Data_ON	21	21	0	0.0	4784.190476190476	8530.074083025585	380.0	102.0	332.0	28089.0	334.2	26687.400000000005	72762163.86190477	False	False
summary_csf_median	intensity_summary	cohort	Data_TON	8	8	0	0.0	8452.75	14934.360302432011	496.5	7047.0	390.0	36395.0	393.71	35835.77	223035117.64285713	False	False
summary_csf_median	intensity_summary	session	ses-01	230	230	0	0.0	11101.347826086956	18784.094852177644	422.5	19950.75	299.0	72113.0	309.0	67219.18000000001	352842219.4156066	False	False
summary_csf_median	intensity_summary	session	ses-02	150	150	0	0.0	13176.186666666666	20719.980409408305	430.0	23993.5	308.0	68400.0	311.49	64407.43	429317588.16626394	False	False
summary_csf_p05	intensity_summary	all	all	380	380	0	0.0	1975.3684210526317	3694.370325424187	114.0	2455.25	0.0	21663.0	36.58	16521.59999999999	13648372.10137481	False	False
summary_csf_p05	intensity_summary	sequence_group	T1w	264	264	0	0.0	98.54166666666667	27.80264106957466	95.0	35.5	35.0	182.0	39.0	160.37	772.9868504435995	False	False
summary_csf_p05	intensity_summary	sequence_group	WMn	116	116	0	0.0	6246.767241379311	4299.841259674106	5339.0	5291.0	0.0	21663.0	0.0	20336.299999999977	18488634.858395804	False	False
summary_csf_p05	intensity_summary	cohort	Control	277	277	0	0.0	2001.9494584837546	3714.245162596444	106.0	2522.0	0.0	20915.0	38.04	16535.400000000005	13795617.127871085	False	False
summary_csf_p05	intensity_summary	cohort	Glaucoma	74	74	0	0.0	2143.7432432432433	3998.2860234047444	127.0	2749.0	0.0	21663.0	27.009999999999998	15895.269999999968	15986291.124953724	False	False
summary_csf_p05	intensity_summary	cohort	Data_ON	21	21	0	0.0	1198.0	2488.219222657039	104.0	79.0	59.0	8356.0	59.2	8284.2	6191234.9	False	False
summary_csf_p05	intensity_summary	cohort	Data_TON	8	8	0	0.0	1538.125	2873.657173980819	156.0	804.25	134.0	8102.0	134.49	7766.559999999999	8257905.553571428	False	False
summary_csf_p05	intensity_summary	session	ses-01	230	230	0	0.0	1901.2391304347825	3737.0366315252636	111.5	1859.25	0.0	21663.0	36.16	16388.75	13965442.78536169	False	False
summary_csf_p05	intensity_summary	session	ses-02	150	150	0	0.0	2089.0333333333333	3637.4679470746582	117.0	2866.25	0.0	17057.0	37.98	16163.719999999987	13231173.065995527	False	False
summary_csf_p95	intensity_summary	all	all	380	380	0	0.0	22346.326315789473	36638.17478983057	823.0	39418.0	624.0	127103.0	651.37	120371.37999999993	1342355851.9301765	False	False
summary_csf_p95	intensity_summary	sequence_group	T1w	264	264	0	0.0	776.2954545454545	69.66745983778134	759.5	106.5	624.0	973.0	647.52	939.59	4853.554960248876	False	False
summary_csf_p95	intensity_summary	sequence_group	WMn	116	116	0	0.0	71436.74137931035	30414.029884712512	63925.5	55945.75	21737.0	127103.0	22953.5	125418.54999999999	925013213.8281858	False	False
summary_csf_p95	intensity_summary	cohort	Control	277	277	0	0.0	22824.938628158845	36855.88011823484	830.0	40534.0	645.0	127103.0	661.76	123156.76000000001	1358355899.2896981	False	False
summary_csf_p95	intensity_summary	cohort	Glaucoma	74	74	0	0.0	25157.905405405407	40323.15253058258	814.0	52633.25	624.0	118301.0	635.68	116448.98999999999	1625956630.004628	False	False
summary_csf_p95	intensity_summary	cohort	Data_ON	21	21	0	0.0	8447.619047619048	14819.184172808536	741.0	156.0	689.0	49156.0	691.0	46323.60000000001	219608219.54761904	False	False
summary_csf_p95	intensity_summary	cohort	Data_TON	8	8	0	0.0	16251.375	28678.956670290998	866.0	14334.5	717.0	67320.0	721.97	66649.54	822482555.6964285	False	False
summary_csf_p95	intensity_summary	session	ses-01	230	230	0	0.0	20807.369565217392	35087.980805932646	821.0	37087.0	645.0	127103.0	657.45	122543.96000000005	1231166397.0374978	False	False
summary_csf_p95	intensity_summary	session	ses-02	150	150	0	0.0	24706.06	38897.195624354834	827.5	46137.25	624.0	122803.0	645.88	119533.9	1512991827.439329	False	False
summary_csf_stdv	intensity_summary	all	all	380	380	0	0.0	5791.282162631579	9477.110117190843	226.90485	10418.102900000002	148.6406	31673.7223	169.45867199999998	30319.985470999993	89815616.17336105	False	False
summary_csf_stdv	intensity_summary	sequence_group	T1w	264	264	0	0.0	210.7711731060606	23.168092938516825	206.8834	35.969525000000004	148.6406	269.8339	158.28918299999998	262.036685	536.7605304077531	False	False
summary_csf_stdv	intensity_summary	sequence_group	WMn	116	116	0	0.0	18491.75544913793	7861.53413373443	17044.326399999998	14672.29395	5460.221	31673.7223	5998.968505	31387.222879999998	61803718.93587155	False	False
summary_csf_stdv	intensity_summary	cohort	Control	277	277	0	0.0	5913.905427436824	9512.870886365854	228.3147	10538.2289	172.0074	31673.7223	174.351344	30565.224116	90494712.50066705	False	False
summary_csf_stdv	intensity_summary	cohort	Glaucoma	74	74	0	0.0	6554.483540540541	10507.758433455343	224.5652	13446.60625	148.6406	29446.4302	151.95385100000001	29287.72528	110412987.2958519	False	False
summary_csf_stdv	intensity_summary	cohort	Data_ON	21	21	0	0.0	2086.645438095238	3619.9646879330035	197.3724	57.76830000000001	178.6248	12160.8028	179.16516	11322.746340000003	13104144.341881888	False	False
summary_csf_stdv	intensity_summary	cohort	Data_TON	8	8	0	0.0	4210.510275000001	7424.639032090742	222.7312	3780.5102	176.093	17211.96	177.69548899999998	17071.448796999997	55125264.756845355	False	False
summary_csf_stdv	intensity_summary	session	ses-01	230	230	0	0.0	5396.304723478261	9069.285003690904	225.5043	9676.5222	155.5965	31673.7223	172.52265799999998	30292.005339000007	82251930.47817273	False	False
summary_csf_stdv	intensity_summary	session	ses-02	150	150	0	0.0	6396.9142360000005	10071.398224791334	227.0899	12556.489775	148.6406	30542.4377	162.405069	30088.175717999995	101433062.20233001	False	False
summary_gm_k	intensity_summary	all	all	380	380	0	0.0	0.8741860526315789	2.2589278674245272	-0.0976	1.115875	-0.801	9.1346	-0.719383	8.322512999999999	5.102755110227122	False	False
summary_gm_k	intensity_summary	sequence_group	T1w	264	264	0	0.0	1.2336007575757577	2.6232221592838068	-0.29425	3.08445	-0.801	9.1346	-0.7258249999999999	8.483529	6.881294496957598	False	False
summary_gm_k	intensity_summary	sequence_group	WMn	116	116	0	0.0	0.056207758620689656	0.3289803977643553	0.07235	0.45287499999999997	-0.6888	0.8332	-0.627255	0.8012899999999998	0.1082281021131934	False	False
summary_gm_k	intensity_summary	cohort	Control	277	277	0	0.0	0.7312559566787005	2.1252375851350243	-0.1174	0.9702999999999999	-0.801	9.1346	-0.7112999999999999	8.453408000000003	4.5166347932705495	False	False
summary_gm_k	intensity_summary	cohort	Glaucoma	74	74	0	0.0	1.3216418918918917	2.5652444170448816	0.0209	3.7044	-0.7015	7.4527	-0.699821	7.390211999999999	6.580478919179933	False	False
summary_gm_k	intensity_summary	cohort	Data_ON	21	21	0	0.0	1.1322285714285716	2.5971991648972272	-0.0527	0.6728000000000001	-0.6097	8.3025	-0.60612	7.947060000000001	6.745443502142855	False	False
summary_gm_k	intensity_summary	cohort	Data_TON	8	8	0	0.0	1.0068125	2.6740887748045528	0.1026	1.6256249999999999	-0.7771	7.0677	-0.774062	6.749199999999999	7.150750775535714	False	False
summary_gm_k	intensity_summary	session	ses-01	230	230	0	0.0	0.8928782608695651	2.3141272427219466	-0.0779	1.244125	-0.801	9.1346	-0.717633	8.534670000000002	5.35518489550788	False	False
summary_gm_k	intensity_summary	session	ses-02	150	150	0	0.0	0.8455246666666667	2.17891553402628	-0.12315	0.8707	-0.7771	8.3978	-0.710374	7.887831999999996	4.747672904421028	False	False
summary_gm_mad	intensity_summary	all	all	380	380	0	0.0	3518.387085789474	5939.307238087151	86.76480000000001	6100.3601499999995	69.3508	26618.4958	70.892975	20747.898046999995	35275370.46839442	False	False
summary_gm_mad	intensity_summary	sequence_group	T1w	264	264	0	0.0	83.24138787878788	5.7001674119639025	83.93055000000001	8.006650000000008	69.3508	97.6818	70.422151	95.69874800000001	32.49190852441525	False	False
summary_gm_mad	intensity_summary	sequence_group	WMn	116	116	0	0.0	11336.304881034484	5245.450138918766	10044.6872	8893.65445	2981.8579	26618.4958	3192.73301	22715.52590999999	27514747.159882903	False	False
summary_gm_mad	intensity_summary	cohort	Control	277	277	0	0.0	3628.163232851986	6040.615049990228	86.799	6218.3779	69.4739	26618.4958	70.8797	21001.873128000003	36489030.18216845	False	False
summary_gm_mad	intensity_summary	cohort	Glaucoma	74	74	0	0.0	3897.786637837837	6349.729105650079	87.0852	7872.7383	74.5347	18404.4304	75.96805499999999	18387.389864	40319059.715139754	False	False
summary_gm_mad	intensity_summary	cohort	Data_ON	21	21	0	0.0	1166.8132857142857	2098.392879580173	81.974	7.464799999999997	69.3508	6843.1185	69.7454	6507.668640000001	4403252.67707277	False	False
summary_gm_mad	intensity_summary	cohort	Data_TON	8	8	0	0.0	2380.8233625	4252.166487287714	91.3296	2152.49505	85.4595	9824.2136	85.715399	9744.144484999999	18080919.835612737	False	False
summary_gm_mad	intensity_summary	session	ses-01	230	230	0	0.0	3290.2356360869567	5745.369666398653	86.92045	5506.5487	70.2157	26618.4958	71.039376	20805.42046100001	33009272.603573773	False	False
summary_gm_mad	intensity_summary	session	ses-02	150	150	0	0.0	3868.2193086666666	6228.270890406413	86.63925	7303.853775	69.3508	20961.7674	71.43978	20322.697431999994	38791358.28428389	False	False
summary_gm_mean	intensity_summary	all	all	380	380	0	0.0	11142.03790026316	17793.460848379054	791.2338	19215.78875	687.8538	70271.4445	701.842275	62204.920409999984	316607248.96279824	False	False
summary_gm_mean	intensity_summary	sequence_group	T1w	264	264	0	0.0	757.2765075757576	44.98754319427911	738.1284499999999	76.13479999999993	687.8538	872.6964	699.944393	851.5016230000001	2023.879042657129	False	False
