subject_id	session	sequence_group	run	mriqc_source_file	iqm	value	outlier_iqr	outlier_robust_z	robust_z	split
sub-041	ses-02	WMn	3	sub-041/ses-02/anat/sub-041_ses-02_run-03_T1w.json	inu_med	0.8356865644454956	False	True	-3.6362790605285262	sequence_group=WMn
sub-042	ses-01	WMn	3	sub-042/ses-01/anat/sub-042_ses-01_run-03_T1w.json	inu_med	0.7421384751796722	True	True	-5.142307015840431	sequence_group=WMn
sub-049	ses-01	WMn	3	sub-049/ses-01/anat/sub-049_ses-01_run-03_T1w.json	inu_med	0.6881843209266663	True	True	-6.01091336844419	sequence_group=WMn
sub-057	ses-01	WMn	3	sub-057/ses-01/anat/sub-057_ses-01_run-03_T1w.json	inu_med	0.8204554915428162	True	True	-3.881483658087411	sequence_group=WMn
sub-059	ses-01	WMn	3	sub-059/ses-01/anat/sub-059_ses-01_run-03_T1w.json	inu_med	0.7547599673271179	True	True	-4.939113982599641	sequence_group=WMn
sub-072	ses-02	T1w	1	sub-072/ses-02/anat/sub-072_ses-02_run-01_T1w.json	inu_range	1.210491880774498	False	True	3.816895487851779	sequence_group=T1w
sub-002	ses-02	WMn	3	sub-002/ses-02/anat/sub-002_ses-02_run-03_T1w.json	inu_range	0.1319827795028685	True	True	3.568600070068005	sequence_group=WMn
sub-023	ses-02	WMn	3	sub-023/ses-02/anat/sub-023_ses-02_run-03_T1w.json	inu_range	0.1250814318656921	True	False	3.206567487843513	sequence_group=WMn
sub-054	ses-02	WMn	2	sub-054/ses-02/anat/sub-054_ses-02_run-02_T1w.json	inu_range	0.192552214860916	True	True	6.7459663236429375	sequence_group=WMn
sub-062	ses-01	WMn	1	sub-062/ses-01/anat/sub-062_ses-01_run-01_T1w.json	inu_range	0.2251378536224366	True	True	8.455351731315927	sequence_group=WMn
sub-081	ses-02	WMn	1	sub-081/ses-02/anat/sub-081_ses-02_run-01_T1w.json	inu_range	0.1476189017295837	True	True	4.388843593988142	sequence_group=WMn
sub-001	ses-01	WMn	3	sub-001/ses-01/anat/sub-001_ses-01_run-03_T1w.json	qi_2	0.0017006085996133	True	True	4.3374589253884706	sequence_group=WMn
sub-062	ses-01	WMn	1	sub-062/ses-01/anat/sub-062_ses-01_run-01_T1w.json	qi_2	0.0014308163335759	True	False	3.4322676230020503	sequence_group=WMn
sub-081	ses-02	WMn	1	sub-081/ses-02/anat/sub-081_ses-02_run-01_T1w.json	qi_2	0.0013522391308803	True	False	3.168629967665956	sequence_group=WMn
sub-064	ses-02	T1w	2	sub-064/ses-02/anat/sub-064_ses-02_run-02_T1w.json	snr_csf	2.35192653038122	True	False	3.1281609057525923	sequence_group=T1w
sub-059	ses-01	WMn	3	sub-059/ses-01/anat/sub-059_ses-01_run-03_T1w.json	snr_csf	2.64486767954165	True	False	3.0164270716993955	sequence_group=WMn
sub-030	ses-01	WMn	3	sub-030/ses-01/anat/sub-030_ses-01_run-03_T1w.json	snr_gm	1.5340211597462674	True	False	-3.246206172707087	sequence_group=WMn
sub-008	ses-01	T1w	2	sub-008/ses-01/anat/sub-008_ses-01_run-02_T1w.json	snr_total	7.976121335296592	True	False	3.152839611338155	sequence_group=T1w
sub-011	ses-02	T1w	2	sub-011/ses-02/anat/sub-011_ses-02_run-02_T1w.json	snr_total	7.986257063363205	True	False	3.1680329059026837	sequence_group=T1w
sub-031	ses-01	T1w	2	sub-031/ses-01/anat/sub-031_ses-01_run-02_T1w.json	snr_total	8.582648104211811	True	True	4.062013555315221	sequence_group=T1w
sub-031	ses-02	T1w	2	sub-031/ses-02/anat/sub-031_ses-02_run-02_T1w.json	snr_total	7.847753709956739	True	False	2.960418590221577	sequence_group=T1w
