path	subject	session	extension	category	size	potential BIDS destination
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/CheckerMoveSine.m	SUBC001	ses-02	.m	stimulus	4276	bids/stimuli/CheckerMoveSine.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/CheckerMoveSquare.m	SUBC001	ses-02	.m	stimulus	4301	bids/stimuli/CheckerMoveSquare.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/GratingStimulus1.m	SUBC001	ses-02	.m	stimulus	489	bids/stimuli/GratingStimulus1.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/GratingStimulus2.m	SUBC001	ses-02	.m	stimulus	485	bids/stimuli/GratingStimulus2.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/GratingStimulus3.m	SUBC001	ses-02	.m	stimulus	483	bids/stimuli/GratingStimulus3.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/GratingStimulus4.m	SUBC001	ses-02	.m	stimulus	499	bids/stimuli/GratingStimulus4.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/GratingStimulus5.m	SUBC001	ses-02	.m	stimulus	497	bids/stimuli/GratingStimulus5.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/GreenLevel.mat	SUBC001	ses-02	.mat	stimulus	1936	bids/stimuli/GreenLevel.mat
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/RandomGenerator.m	SUBC001	ses-02	.m	stimulus	1178	bids/stimuli/RandomGenerator.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/RedLevel.mat	SUBC001	ses-02	.mat	stimulus	1936	bids/stimuli/RedLevel.mat
