subject	session	runtime	memory	CPU hours	files processed	job_id	array_task_id	node	timestamp	status
SUBG16	ses-02	01:19:36	0.258G	0.8163	0	66365527	11	nc10905	2026-07-24T16:25:49.082085+00:00	failed
SUBG16	ses-02	00:00:58	0.127G	0.0010	0				2026-07-24T16:40:39.580259+00:00	failed
SUBC013		00:00:14	0.147G	0.0008	0	66497192	13	nc11004	2026-07-27T15:41:19.456925+00:00	failed
SUBC017		00:00:17	0.144G	0.0008	0	66497196	17	nc30523	2026-07-27T15:41:22.260994+00:00	failed
SUBC007		00:23:10	0.204G	0.0112	123	66497024	7	nc30630	2026-07-27T16:00:06.981035+00:00	success
SUBC008		00:23:10	0.205G	0.0109	120	66497025	8	nc30630	2026-07-27T16:00:06.981043+00:00	success
SUBC018		00:19:01	0.208G	0.0079	0	66497197	18	nc30543	2026-07-27T16:00:07.022461+00:00	failed
SUBC002		00:23:10	0.210G	0.0111	120	66497019	2	nc30620	2026-07-27T16:00:07.129779+00:00	success
SUBC001		00:23:11	0.200G	0.0068	0	66497018	1	nc30620	2026-07-27T16:00:07.572088+00:00	failed
SUBC012		00:19:10	0.196G	0.0112	121	66497191	12	nc11001	2026-07-27T16:00:15.249976+00:00	success
SUBC010		00:19:15	0.199G	0.0077	53	66497189	10	nc10354	2026-07-27T16:00:19.862536+00:00	success
SUBC011		00:19:15	0.202G	0.0124	124	66497190	11	nc10354	2026-07-27T16:00:19.865330+00:00	success
SUBC006		00:23:31	0.205G	0.0110	118	66497023	6	nc30621	2026-07-27T16:00:22.370733+00:00	success
SUBC004		00:23:31	0.202G	0.0110	118	66497021	4	nc30621	2026-07-27T16:00:22.370734+00:00	success
SUBC003		00:23:28	0.200G	0.0109	118	66497020	3	nc30621	2026-07-27T16:00:22.370733+00:00	success
SUBC005		00:23:31	0.200G	0.0111	122	66497022	5	nc30621	2026-07-27T16:00:22.370736+00:00	success
SUBC009		00:23:42	0.203G	0.0113	118	66497026	9	nc30647	2026-07-27T16:00:33.288576+00:00	success
SUBC014		00:19:30	0.206G	0.0078	59	66497193	14	nc11007	2026-07-27T16:00:35.003826+00:00	success
SUBC021		00:18:34	0.206G	0.0075	59	66497464	20	nc30447	2026-07-27T16:01:50.871431+00:00	success
SUBC022		00:18:34	0.204G	0.0108	122	66497465	21	nc30447	2026-07-27T16:01:50.871423+00:00	success
SUBC016		00:29:36	0.201G	0.0110	122	66497195	16	nc30505	2026-07-27T16:10:41.666693+00:00	success
SUBC020		00:29:36	0.197G	0.0110	118	66497198	19	nc30545	2026-07-27T16:10:41.666692+00:00	success
SUBC015		00:29:36	0.205G	0.0117	121	66497194	15	nc11014	2026-07-27T16:10:41.861441+00:00	success
SUBC023		00:27:24	0.204G	0.0110	119	66497466	22	nc30452	2026-07-27T16:10:42.348678+00:00	success
SUBC038		00:12:20	0.197G	0.0072	59	66498445	37	nc30447	2026-07-27T16:16:27.912391+00:00	success
SUBC017		00:22:54	0.197G	0.0109	118	66498248	1	nc30415	2026-07-27T16:18:45.393836+00:00	success
SUBC013		00:22:54	0.197G	0.0076	59	66498247	1	nc30415	2026-07-27T16:18:45.393879+00:00	success
SUBC024		00:19:05	0.201G	0.0107	122	66498385	23	nc30447	2026-07-27T16:19:34.117462+00:00	success
SUBC039		00:15:26	0.204G	0.0106	122	66498446	38	nc30447	2026-07-27T16:19:34.118012+00:00	success
SUBC001		00:11:05	0.200G	0.0057	117	66498850	1	nc30415	2026-07-27T16:20:58.044409+00:00	success
SUBC027		00:20:29	0.206G	0.0113	118	66498390	26	nc30449	2026-07-27T16:21:05.766067+00:00	success
SUBC034		00:20:36	0.188G	0.0051	50	66498400	33	nc30449	2026-07-27T16:21:05.766051+00:00	success
SUBC035		00:20:37	0.203G	0.0113	118	66498401	34	nc30449	2026-07-27T16:21:05.766060+00:00	success
SUBC032		00:20:28	0.212G	0.0113	118	66498398	31	nc30449	2026-07-27T16:21:05.766030+00:00	success
SUBC026		00:20:14	0.205G	0.0111	123	66498389	25	nc30449	2026-07-27T16:21:05.765610+00:00	success
SUBC031		00:20:37	0.209G	0.0114	120	66498397	30	nc30449	2026-07-27T16:21:05.765603+00:00	success
SUBC033		00:20:36	0.198G	0.0080	59	66498399	32	nc30449	2026-07-27T16:21:05.765566+00:00	success
SUBC030		00:20:37	0.205G	0.0112	118	66498396	29	nc30449	2026-07-27T16:21:05.766028+00:00	success
SUBC029		00:20:37	0.204G	0.0115	120	66498392	28	nc30449	2026-07-27T16:21:05.766043+00:00	success
SUBC028		00:20:54	0.212G	0.0111	119	66498391	27	nc30449	2026-07-27T16:21:25.447020+00:00	success
SUBC043		00:14:15	0.197G	0.0077	59	66498897	42	nc30437	2026-07-27T16:25:06.655335+00:00	success
SUBC046		00:05:44	0.196G	0.0074	58	66499454	45	nc11001	2026-07-27T16:25:24.218752+00:00	success
SUBC025		00:28:20	0.228G	0.0369	125	66498386	24	nc30447	2026-07-27T16:28:49.195506+00:00	success
SUBC056		00:07:30	0.184G	0.0044	28	66499539	55	nc10342	2026-07-27T16:29:12.072445+00:00	success
SUBC041		00:18:20	0.203G	0.0110	121	66498895	40	nc30429	2026-07-27T16:29:12.080427+00:00	success
