file	relative_under_movie	folder_role	filename	extension	size_bytes	content_class	timing_keywords_in_content	identity_keywords_in_content	n_lines	notes
/lustre06/project/6001995/raw_original/Control/SUBC12-Session01-2023JUL12/SUBC12_Session01_2023JUL12_Matlab/1-Check_FOV_and_EyeTracking/3-Movie_Data/Show_movie.m	Show_movie.m	MovieRoot	Show_movie.m	.m	4196	MATLAB_SCRIPT				
/lustre06/project/6001995/raw_original/Control/SUBC12-Session01-2023JUL12/SUBC12_Session01_2023JUL12_Matlab/1-Check_FOV_and_EyeTracking/3-Movie_Data/Movie2A.mp4	Movie2A.mp4	MovieRoot	Movie2A.mp4	.mp4	178229515	STIMULUS_MP4				not a timing log
/lustre06/project/6001995/raw_original/Control/SUBC12-Session01-2023JUL12/SUBC12_Session01_2023JUL12_Matlab/1-Check_FOV_and_EyeTracking/3-Movie_Data/Movie1B.mp4	Movie1B.mp4	MovieRoot	Movie1B.mp4	.mp4	181514135	STIMULUS_MP4				not a timing log
/lustre06/project/6001995/raw_original/Control/SUBC12-Session01-2023JUL12/SUBC12_Session01_2023JUL12_Matlab/1-Check_FOV_and_EyeTracking/3-Movie_Data/Movie1A.mp4	Movie1A.mp4	MovieRoot	Movie1A.mp4	.mp4	183368517	STIMULUS_MP4				not a timing log
/lustre06/project/6001995/raw_original/Control/SUBC12-Session01-2023JUL12/SUBC12_Session01_2023JUL12_Matlab/1-Check_FOV_and_EyeTracking/3-Movie_Data/Movie2B.mp4	Movie2B.mp4	MovieRoot	Movie2B.mp4	.mp4	173312179	STIMULUS_MP4				not a timing log
/lustre06/project/6001995/raw_original/Control/SUBC12-Session01-2023JUL12/SUBC12_Session01_2023JUL12_Matlab/1-Check_FOV_and_EyeTracking/3-Movie_Data/main.m	main.m	MovieRoot	main.m	.m	2901	MATLAB_SCRIPT				
/lustre06/project/6001995/raw_original/Control/SUBC12-Session01-2023JUL12/SUBC12_Session01_2023JUL12_Matlab/3-Movie_Data/main.m	main.m	MovieRoot	main.m	.m	3446	MATLAB_SCRIPT				
/lustre06/project/6001995/raw_original/Control/SUBC12-Session01-2023JUL12/SUBC12_Session01_2023JUL12_Matlab/3-Movie_Data/output.txt	output.txt	MovieRoot	output.txt	.txt	7430	DIARY_PTB_DIAGNOSTICS_ONLY	vbltimestamp	run_id	142	encoding=utf-8; ptb_diag=True; triggerTimes_assign=False
/lustre06/project/6001995/raw_original/Control/SUBC12-Session01-2023JUL12/SUBC12_Session01_2023JUL12_Matlab/3-Movie_Data/Show_movie.m	Show_movie.m	MovieRoot	Show_movie.m	.m	4743	MATLAB_SCRIPT				
/lustre06/project/6001995/raw_original/Control/SUBC12-Session01-2023JUL12/SUBC12_Session01_2023JUL12_Matlab/3-Movie_Data/Results/July-12-2023_10-50-59_AM_Subject_is_SUBC12_selected_run_id_2.mat	Results/July-12-2023_10-50-59_AM_Subject_is_SUBC12_selected_run_id_2.mat	Results	July-12-2023_10-50-59_AM_Subject_is_SUBC12_selected_run_id_2.mat	.mat	823	MAT_IDENTITY_ONLY				
/lustre06/project/6001995/raw_original/Control/SUBC12-Session01-2023JUL12/SUBC12_Session01_2023JUL12_Matlab/3-Movie_Data/Results/July-12-2023_10-54-54_AM_Subject_is_SUBC12_selected_run_id_3.mat	Results/July-12-2023_10-54-54_AM_Subject_is_SUBC12_selected_run_id_3.mat	Results	July-12-2023_10-54-54_AM_Subject_is_SUBC12_selected_run_id_3.mat	.mat	823	MAT_IDENTITY_ONLY				
/lustre06/project/6001995/raw_original/Control/SUBC12-Session01-2023JUL12/SUBC12_Session01_2023JUL12_Matlab/3-Movie_Data/Results/July-12-2023_10-59-06_AM_Subject_is_SUBC12_selected_run_id_4.mat	Results/July-12-2023_10-59-06_AM_Subject_is_SUBC12_selected_run_id_4.mat	Results	July-12-2023_10-59-06_AM_Subject_is_SUBC12_selected_run_id_4.mat	.mat	825	MAT_IDENTITY_ONLY				
