source_type	filepath	subject	session	sampling_confidence	starttime_confidence	runmap_confidence	recoverable	reason
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_NII/FMRI3_AP_PHYSIOLOG_0021/SUBC02_CONTROL_SESSION01_2023MAY11.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0021.0001.2023.05.16.13.09.02.852597.124745137.IMA	sub-002	ses-01	MEDIUM	LOW	CONFIRMED	NO	CSA SampleTime present (EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO present but first channel tick missing | Unique BIDS ProtocolName match: fMRI3_AP → sub-002_ses-01_task-fmri_run-03_bold.json
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_Sessoin01_2023MAY05_NII/MOVIE2_AP_PHYSIOLOG_0029/SUB050_CONTROLSUBJECT_2023MAY05.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0029.0001.2023.05.08.12.17.15.267862.121722953.IMA	sub-001	ses-01	MEDIUM	LOW	CONFIRMED	NO	CSA SampleTime present (EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO present but first channel tick missing | Unique BIDS ProtocolName match: Movie2_AP → sub-001_ses-01_task-movie_run-03_bold.json
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_NII/MOVIE2_AP_PHYSIOLOG_0033/SUBC02_CONTROL_SESSION01_2023MAY11.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0033.0001.2023.05.16.13.09.02.852597.124897377.IMA	sub-002	ses-01	MEDIUM	LOW	CONFIRMED	NO	CSA SampleTime present (EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO present but first channel tick missing | Unique BIDS ProtocolName match: Movie2_AP → sub-002_ses-01_task-movie_run-03_bold.json
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC03-Session01-2023MAY19/SUBC03_Session01_2023MAY19_NII/CONTROL3_AP_PHYSIOLOG_0049/SUBC03_SESSION01_2023MAY19.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0049.0001.2023.05.19.15.04.32.124295.128572526.IMA	sub-003	ses-01	MEDIUM	LOW	CONFIRMED	NO	CSA SampleTime present (EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO present but first channel tick missing | Unique BIDS ProtocolName match: Control3_AP → sub-003_ses-01_task-control_run-03_bold.json
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC03-Session01-2023MAY19/SUBC03_Session01_2023MAY19_NII/CONTROL2_PA_PHYSIOLOG_0053/SUBC03_SESSION01_2023MAY19.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0053.0001.2023.05.19.15.04.32.124295.128581746.IMA	sub-003	ses-01	MEDIUM	LOW	CONFIRMED	NO	CSA SampleTime present (EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO present but first channel tick missing | Unique BIDS ProtocolName match: Control2_PA → sub-003_ses-01_task-control_run-05_bold.json
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC03-Session01-2023MAY19/SUBC03_Session01_2023MAY19_NII/CONTROL1_PA_PHYSIOLOG_0010/SUBC03_SESSION01_2023MAY19.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0010.0001.2023.05.19.15.04.32.124295.128165972.IMA	sub-003	ses-01	MEDIUM	LOW	CONFIRMED	NO	CSA SampleTime present (EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO present but first channel tick missing | Unique BIDS ProtocolName match: Control1_PA → sub-003_ses-01_task-control_run-01_bold.json
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_NII/FMRI2_AP_PHYSIOLOG_0013/SUBC02_CONTROL_SESSION01_2023MAY11.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0013.0001.2023.05.16.13.09.02.852597.124686765.IMA	sub-002	ses-01	MEDIUM	LOW	CONFIRMED	NO	CSA SampleTime present (EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO present but first channel tick missing | Unique BIDS ProtocolName match: fMRI2_AP → sub-002_ses-01_task-fmri_run-01_bold.json
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_Sessoin01_2023MAY05_NII/FMRI3_AP_PHYSIOLOG_0017/SUB050_CONTROLSUBJECT_2023MAY05.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0017.0001.2023.05.08.12.17.15.267862.121570713.IMA	sub-001	ses-01	MEDIUM	LOW	CONFIRMED	NO	CSA SampleTime present (EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO present but first channel tick missing | Unique BIDS ProtocolName match: fMRI3_AP → sub-001_ses-01_task-fmri_run-01_bold.json
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_Sessoin01_2023MAY05_NII/REST1_AP_PHYSIOLOG_0041/SUB050_CONTROLSUBJECT_2023MAY05.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0041.0001.2023.05.08.12.17.15.267862.121896953.IMA	sub-001	ses-01	MEDIUM	LOW	CONFIRMED	NO	CSA SampleTime present (EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO present but first channel tick missing | Unique BIDS ProtocolName match: REST1_AP → sub-001_ses-01_task-rest_run-01_bold.json
physiolog_dicom	/lustre06/project/6001995/raw_original/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_NII/REST1_AP_PHYSIOLOG_0045/SUBC02_CONTROL_SESSION01_2023MAY11.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0045.0001.2023.05.16.13.09.02.852597.125071371.IMA	sub-002	ses-01	MEDIUM	LOW	CONFIRMED	NO	CSA SampleTime present (EXT=8); Hz inferred as 1000/SampleTime (Siemens EJA_1 ms convention) | ACQUISITION_INFO present but first channel tick missing | Unique BIDS ProtocolName match: REST1_AP → sub-002_ses-01_task-rest_run-01_bold.json
