file_path	subject	session	extension	file_size	creation_time	modification_time
/lustre06/project/6001995/raw_original/Control/SUBC15_Session02_2024FEB08/SUBC15_Session02_2024FEB8_Physio/SUBC15_SESSION02_2024FEB8.puls	sub-015	ses-02	.puls	7187254	NA	2024-02-08T21:34:04+00:00
/lustre06/project/6001995/raw_original/Control/SUBC15_Session02_2024FEB08/SUBC15_Session02_2024FEB8_Physio/SUBC15_SESSION02_2024FEB8.resp	sub-015	ses-02	.resp	6981743	NA	2024-02-08T21:34:04+00:00
/lustre06/project/6001995/raw_original/Control/SUBC16-SESSION2-2024FEB07/SUBC016-Session02-2023FEB07_Peripheral/SUBC016-session2-2024FEB07.ecg	sub-016	ses-02	.ecg	52824	NA	2024-02-07T14:29:30+00:00
/lustre06/project/6001995/raw_original/Control/SUBC16-SESSION2-2024FEB07/SUBC016-Session02-2023FEB07_Peripheral/SUBC016-session2-2024FEB07.ext	sub-016	ses-02	.ext	3138329	NA	2024-02-07T14:29:32+00:00
/lustre06/project/6001995/raw_original/Control/SUBC16-SESSION2-2024FEB07/SUBC016-Session02-2023FEB07_Peripheral/SUBC016-session2-2024FEB07.ext2	sub-016	ses-02	.ext2	3117284	NA	2024-02-07T14:29:32+00:00
/lustre06/project/6001995/raw_original/Control/SUBC16-SESSION2-2024FEB07/SUBC016-Session02-2023FEB07_Peripheral/SUBC016-session2-2024FEB07.pmu	sub-016	ses-02	.pmu	2296	NA	2024-02-07T14:29:32+00:00
/lustre06/project/6001995/raw_original/Control/SUBC16-SESSION2-2024FEB07/SUBC016-Session02-2023FEB07_Peripheral/SUBC016-session2-2024FEB07.puls	sub-016	ses-02	.puls	7793930	NA	2024-02-07T14:29:32+00:00
/lustre06/project/6001995/raw_original/Control/SUBC16-SESSION2-2024FEB07/SUBC016-Session02-2023FEB07_Peripheral/SUBC016-session2-2024FEB07.resp	sub-016	ses-02	.resp	7468219	NA	2024-02-07T14:29:30+00:00
/lustre06/project/6001995/raw_original/Control/SUBC17-Session1-2023AUG18/SUBC17_Session01_2023AUG18_Physio/SUBC17_Session01_control_2023AUG18_AfterCoilChange.ecg	sub-017	ses-01	.ecg	81623	NA	2023-08-18T19:53:02+00:00
/lustre06/project/6001995/raw_original/Control/SUBC17-Session1-2023AUG18/SUBC17_Session01_2023AUG18_Physio/SUBC17_Session01_control_2023AUG18_AfterCoilChange.ext	sub-017	ses-01	.ext	3736416	NA	2023-08-18T19:53:04+00:00
/lustre06/project/6001995/raw_original/Control/SUBC17-Session1-2023AUG18/SUBC17_Session01_2023AUG18_Physio/SUBC17_Session01_control_2023AUG18_AfterCoilChange.ext2	sub-017	ses-01	.ext2	3735993	NA	2023-08-18T19:53:04+00:00
/lustre06/project/6001995/raw_original/Control/SUBC17-Session1-2023AUG18/SUBC17_Session01_2023AUG18_Physio/SUBC17_Session01_control_2023AUG18_AfterCoilChange.pmu	sub-017	ses-01	.pmu	2296	NA	2023-08-18T19:53:04+00:00
/lustre06/project/6001995/raw_original/Control/SUBC17-Session1-2023AUG18/SUBC17_Session01_2023AUG18_Physio/SUBC17_Session01_control_2023AUG18_AfterCoilChange.puls	sub-017	ses-01	.puls	9312793	NA	2023-08-18T19:53:04+00:00
/lustre06/project/6001995/raw_original/Control/SUBC17-Session1-2023AUG18/SUBC17_Session01_2023AUG18_Physio/SUBC17_Session01_control_2023AUG18_AfterCoilChange.resp	sub-017	ses-01	.resp	9005476	NA	2023-08-18T19:53:02+00:00
/lustre06/project/6001995/raw_original/Control/SUBC17-Session1-2023AUG18/SUBC17_Session01_2023AUG18_Physio/SUBC17_session01_control_2023AUG18.ecg	sub-017	ses-01	.ecg	64530	NA	2023-08-18T18:53:56+00:00
/lustre06/project/6001995/raw_original/Control/SUBC17-Session1-2023AUG18/SUBC17_Session01_2023AUG18_Physio/SUBC17_session01_control_2023AUG18.ext	sub-017	ses-01	.ext	2454879	NA	2023-08-18T18:53:58+00:00
/lustre06/project/6001995/raw_original/Control/SUBC17-Session1-2023AUG18/SUBC17_Session01_2023AUG18_Physio/SUBC17_session01_control_2023AUG18.ext2	sub-017	ses-01	.ext2	2434014	NA	2023-08-18T18:53:58+00:00
/lustre06/project/6001995/raw_original/Control/SUBC17-Session1-2023AUG18/SUBC17_Session01_2023AUG18_Physio/SUBC17_session01_control_2023AUG18.pmu	sub-017	ses-01	.pmu	2296	NA	2023-08-18T18:53:58+00:00
/lustre06/project/6001995/raw_original/Control/SUBC17-Session1-2023AUG18/SUBC17_Session01_2023AUG18_Physio/SUBC17_session01_control_2023AUG18.puls	sub-017	ses-01	.puls	6035753	NA	2023-08-18T18:53:56+00:00
