pc	rank_abs_loading	iqm	iqm_family	family_group	loading	abs_loading	loading_squared	contribution	sign	in_top10	explained_variance_ratio	cumulative_ratio	sum_loading_squared
PC3	38	inu_range	bias_field	homogeneity / bias field	0.04673008898	0.04673008898	0.002183701216	0.002183701216	+	False	0.09591836085	0.6212463013	1
PC3	39	inu_med	bias_field	homogeneity / bias field	0.04239545631	0.04239545631	0.001797374716	0.001797374716	+	False	0.09591836085	0.6212463013	1
PC3	40	summary_gm_k	intensity_summary	intensity	-0.04186780578	0.04186780578	0.001752913161	0.001752913161	-	False	0.09591836085	0.6212463013	1
PC3	41	summary_wm_stdv	intensity_summary	intensity	-0.04128884525	0.04128884525	0.001704768742	0.001704768742	-	False	0.09591836085	0.6212463013	1
PC3	42	summary_bg_mad	intensity_summary	intensity	0.04065674331	0.04065674331	0.001652970777	0.001652970776	+	False	0.09591836085	0.6212463013	1
PC3	43	summary_bg_median	intensity_summary	intensity	0.04065674331	0.04065674331	0.001652970777	0.001652970776	+	False	0.09591836085	0.6212463013	1
PC3	44	fwhm_z	smoothness	smoothness / sharpness	0.03598757262	0.03598757262	0.001295105383	0.001295105383	+	False	0.09591836085	0.6212463013	1
PC3	45	summary_gm_mad	intensity_summary	intensity	0.0343877937	0.0343877937	0.001182520356	0.001182520355	+	False	0.09591836085	0.6212463013	1
PC3	46	icvs_wm	tissue_fraction	morphology / tissue	-0.03008528184	0.03008528184	0.0009051241834	0.0009051241833	-	False	0.09591836085	0.6212463013	1
PC3	47	wm2max	intensity_ratio	intensity	-0.02918553233	0.02918553233	0.0008517952974	0.0008517952973	-	False	0.09591836085	0.6212463013	1
PC3	48	tpm_overlap_csf	template_overlap	morphology / tissue	-0.02643605632	0.02643605632	0.0006988650738	0.0006988650737	-	False	0.09591836085	0.6212463013	1
PC3	49	tpm_overlap_wm	template_overlap	morphology / tissue	-0.01556916421	0.01556916421	0.0002423988742	0.0002423988742	-	False	0.09591836085	0.6212463013	1
PC3	50	summary_csf_k	intensity_summary	intensity	0.01157379959	0.01157379959	0.0001339528369	0.0001339528369	+	False	0.09591836085	0.6212463013	1
PC3	51	summary_gm_p95	intensity_summary	intensity	0.01064914314	0.01064914314	0.0001134042496	0.0001134042496	+	False	0.09591836085	0.6212463013	1
PC3	52	fwhm_avg	smoothness	smoothness / sharpness	0.01019379413	0.01019379413	0.0001039134388	0.0001039134388	+	False	0.09591836085	0.6212463013	1
PC3	53	fwhm_x	smoothness	smoothness / sharpness	-0.00843634155	0.00843634155	7.117185875e-05	7.117185874e-05	-	False	0.09591836085	0.6212463013	1
