iqm	family_group	n_obs	n_subjects	iqm_sd	beta_before	beta_before_std	se_before	p_before	ci_low_before	ci_high_before	r2_before	beta_after	beta_after_std	se_after	p_after	ci_low_after	ci_high_after	r2_after	effect_attenuation	anatomy_sensitive_by_construction	selected_anatomy	q_before	q_after	cohort_shift_class
summary_bg_k	intensity	132	83	1552.6249938983615	-464.95463283251433	-0.299463575982438	403.6581179498754	0.25157995568541636	-1263.844146021987	333.9348803569584	0.03294237580435422	-205.0752097852061	-0.132082898698094	427.8124681119112	0.6325423232258367	-1051.972719662932	641.8223000925196	0.05845946098862087	0.4410649885041111	FALSE	icv_etiv+total_wm+mean_cortical_thickness	0.4544670167220424	0.8050538659237921	not_fdr_significant
summary_bg_mad	intensity	132	83	2.6227942712891696	2.4118215242667103	0.9195618393207939	0.6523559176881948	0.00032504975258304113	1.1207281996604919	3.7029148488729287	0.11488667834416777	2.0898545899752	0.7968046189715001	0.6710281264954362	0.0022974063998821466	0.761487392322042	3.418221787628358	0.1882574888208869	0.8665046600455227	FALSE	icv_etiv+total_wm+mean_cortical_thickness	0.003935407964811374	0.03216368959835005	persistent
summary_bg_mean	intensity	132	83	5.113476887192495	5.500781800116909	1.0757419895442335	1.2304497939119952	1.7285883998140735e-05	3.065568947579889	7.935994652653928	0.17157476703380237	5.1120873681266294	0.9997282633526035	1.3063821329598189	0.00015041789555576116	2.5259734564979306	7.698201279755328	0.1905814288459311	0.9293383293294749	FALSE	icv_etiv+total_wm+mean_cortical_thickness	0.0009680095038958812	0.008423402151122625	persistent
summary_bg_median	intensity	132	83	1.769050499992695	1.6267513316246527	0.9195618393207938	0.44000803837056157	0.00032504975258303967	0.7559208145558425	2.497581848693463	0.1148866783441681	1.409587609588021	0.7968046189715001	0.4526022706700635	0.0022974063998821414	0.5136162095791462	2.305559009596896	0.1882574888208871	0.8665046600455227	FALSE	icv_etiv+total_wm+mean_cortical_thickness	0.003935407964811374	0.03216368959835005	persistent
summary_bg_p95	intensity	132	83	15.428500594050456	15.181449455775498	0.9839873527068322	3.830463756943531	0.00012351531422679737	7.600486284227121	22.762412627323876	0.11811208905997883	14.205258382542223	0.9207154185818976	4.013864359760899	0.0005690936358216276	6.259412983807306	22.15110378127714	0.16064972599912075	0.9356984274738074	FALSE	icv_etiv+total_wm+mean_cortical_thickness	0.0034584287983503268	0.01593462180300557	persistent
summary_bg_stdv	intensity	132	83	23.791455523576204	19.15476882295483	0.8051112637464892	5.424031431118921	0.000579549922569303	8.419937447486063	29.889600198423594	0.256363860105558	17.104993406255375	0.7189553152519457	5.759013653722586	0.003585475219915636	5.704450677300516	28.505536135210235	0.27335968944127	0.8929887676721512	FALSE	icv_etiv+total_wm+mean_cortical_thickness	0.005409132610646829	0.040157322463055124	persistent
summary_csf_k	intensity	132	83	0.15054033814592988	0.0262116925948465	0.17411740213734322	0.035519353353018784	0.4619247998224659	-0.04408551597639711	0.09650890116609011	0.20350611800726903	0.010769151619506818	0.07153665092121345	0.03561104477832306	0.7628541683686327	-0.0597264682954713	0.08126477153448494	0.30604876737360454	0.4108529649712186	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.6807312839488971	0.8554314388308178	not_fdr_significant
summary_csf_mad	intensity	132	83	12.105912535522814	-0.1968702215029534	-0.0162623198313444	2.8786469746123613	0.9455845830247457	-5.894069851408545	5.500329408402638	0.1910161162368459	1.709116342419784	0.14118029825547332	2.877031367249091	0.5535749391748879	-3.986254602510199	7.404487287349767	0.29957857018629075	-8.681436579752841	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.962777029988832	0.7380999188998505	not_fdr_significant
summary_csf_mean	intensity	132	83	31.472486290711327	0.19406521997690618	0.006166186496494936	7.392127764849837	0.9790974417608402	-14.435873059199709	14.824003499153521	0.21071301687583222	1.77283944685378	0.05632981870189929	7.470744028268334	0.8128187864022041	-13.016244523506987	16.561923417214548	0.30123538955895823	9.135276517166488	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.9790974417608402	0.8753433084331428	not_fdr_significant
summary_csf_median	intensity	132	83	36.79875923820259	-1.5183338822424837	-0.04126046403940237	8.687301794070752	0.8615382377336548	-18.711582308518455	15.674914544033488	0.20262689273390033	1.5546183030545322	0.04224648698047968	8.911163879254154	0.8617951987842121	-16.08592062924817	19.195157235357236	0.27277666673091383	-1.0238975242773736	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.9103045530770693	0.8937135394799236	not_fdr_significant
summary_csf_p05	intensity	132	83	25.75413115991276	1.1188393802339354	0.043443103294257095	5.662627344388653	0.84369220974001	-10.088202919591176	12.325881680059048	0.30832787313316223	-1.5478906417567782	-0.060102615465674344	5.5051082196907934	0.779053631792352	-12.445802204362137	9.35002092084858	0.4333652430026518	-1.3834788702495737	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.9103045530770693	0.8554314388308178	not_fdr_significant
summary_csf_p95	intensity	132	83	31.7783453243268	2.148161465468405	0.06759827938001402	7.718244496620088	0.7812246397915318	-13.127202300033321	17.42352523097013	0.1560190944249571	4.225404421256222	0.13296489726359703	7.866638272294145	0.5921563635318705	-11.347391746460788	19.79820058897323	0.24005686471199572	1.9669864156765682	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.8989500194520144	0.7711803804135987	not_fdr_significant
summary_csf_stdv	intensity	132	83	12.943346331118336	1.2323157205789768	0.09520843289314207	3.0937296508719547	0.6910687794636772	-4.8905592194261684	7.355190660584122	0.18260929854146868	2.9445402883090352	0.22749451440001914	3.1487133914023175	0.35155490174669957	-3.28865235861426	9.177732935232331	0.2660974215220877	2.389436602273975	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.8529246351503889	0.6331555033902525	not_fdr_significant
summary_gm_k	intensity	132	83	0.29679698108009095	0.20204210575388093	0.6807417818692694	0.07155836389764107	0.00553022682970745	0.06041922253486834	0.34366498897289355	0.16831290286182343	0.20702539841810874	0.6975320222756671	0.07625252196673458	0.007589014805409166	0.0560759152005435	0.357974881635674	0.1814320038018643	1.0246646244634683	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.0221209073188298	0.059747647332587105	attenuated_lost_fdr
summary_gm_mad	intensity	132	83	4.632562664502119	0.9096211417537234	0.1963537695288757	1.0899550822719428	0.4055636832774142	-1.2475352397333217	3.0667775232407686	0.20798626430626466	-1.0780484811181523	-0.2327110412081203	1.0248045505786565	0.2948992444535585	-3.10675144488823	0.9506544826519252	0.39311726858759655	-1.185162076421955	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.6209661815515126	0.589798488907117	not_fdr_significant
summary_gm_mean	intensity	132	83	11.867622147253075	2.8913951344137985	0.24363727615671113	2.920052290690922	0.32399603766931917	-2.8877507548001846	8.67054102362778	0.13381241663634147	2.233006366932706	0.18815954360744172	3.0290642470565006	0.4624201125226054	-3.7633288483858474	8.229341582251259	0.1921051418232539	0.7722937416457353	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.549811457863087	0.6689979364549928	not_fdr_significant
summary_gm_median	intensity	132	83	11.39683076830641	2.8730356191548303	0.2520907502763392	2.728260401802423	0.29434255288776673	-2.5265303187726316	8.272601557082293	0.18009873246539732	1.9815675771609804	0.17387005365312141	2.8558614346460645	0.48908915030106515	-3.6718953717610594	7.63503052608302	0.2212978752654301	0.6897121511302057	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.5150994675535918	0.6847248104214911	not_fdr_significant
summary_gm_p05	intensity	132	83	28.4789298399708	-12.43618831175375	-0.43668032407240553	7.031889203130029	0.07940968957328107	-26.353169768295253	1.4807931447877518	0.12772219003721186	-5.413434947818569	-0.19008561691881748	6.979386604784644	0.43946728635766197	-19.229827822370932	8.402957926733794	0.2551780362836962	0.4352969585304685	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.1778777046441496	0.6651396766494343	not_fdr_significant
summary_gm_p95	intensity	132	83	21.273522176132346	14.15907014045792	0.6655724436804157	4.522741529965413	0.002171971302346163	5.208003337920461	23.110136942995382	0.3533297902812539	7.001331281433025	0.329110112724451	4.429076165951779	0.1165208270714889	-1.7664673583722355	15.769129921238285	0.4624575182991708	0.49447677085993963	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.012074957315723273	0.3105140223749304	attenuated_lost_fdr
