subset	IQM	family_group	in_core_quality	in_tissue_sensitive	n_obs	n_subjects	converged	status	cohort_stat	cohort_p	cohort_q	glaucoma_coef	glaucoma_p	on_coef	ton_coef	acquisition_stat	acquisition_p	acquisition_q	xa30_coef	xa30_p	r2_marginal	r2_conditional	finding_class_cohort	overall_cohort_finding	overall_acquisition_finding	formula
FULL_56	summary_csf_p05	intensity	False	True	133	83	True	ok	5.048509637	0.1682792982	0.2771659029	1.722700166	0.8043895804	8.071795396	34.41064848	0.0004397700644	0.9832690322	0.9986040026	0.1188781698	0.9832690322	0.3121774617	0.9462809852	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""summary_csf_p05"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	summary_csf_p95	intensity	False	True	133	83	True	ok	2.270021082	0.5182883872	0.6355333276	1.970842862	0.8309343263	-3.249986459	31.8677945	2.874864224	0.08997256318	0.6298079422	-12.90293247	0.08997256318	0.1062375369	0.9283163711	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""summary_csf_p95"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	summary_csf_stdv	intensity	False	True	133	83	True	ok	1.303786863	0.7282340452	0.7842520487	0.7126672027	0.8501847395	-5.407491392	-0.5847186894	3.063012974	0.08009302775	0.6298079422	-4.400910041	0.08009302775	0.1943703817	0.9608763862	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""summary_csf_stdv"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	summary_gm_k	intensity	False	True	133	83	True	ok	10.45553985	0.01506554896	0.1224980052	0.190662563	0.01025251745	0.228037853	-0.1020323074	0.4393306963	0.5074456768	0.9986040026	0.08569934568	0.5074456768	0.1580034277	0.2469155187	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""summary_gm_k"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	summary_gm_mad	intensity	False	True	133	83	True	ok	9.056073006	0.0285545807	0.13325471	0.5453567962	0.668431264	-2.860927629	7.516183028	0.05569629659	0.8134321826	0.9986040026	0.433131681	0.8134321826	0.1968339277	0.6590908526	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""summary_gm_mad"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	summary_gm_mean	intensity	False	True	133	83	True	ok	5.075957134	0.1663189383	0.2771659029	3.259820027	0.3617685027	-3.461923486	16.70057507	0.1128002319	0.7369783593	0.9986040026	-1.098508095	0.7369783593	0.1236701602	0.9087157287	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""summary_gm_mean"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	summary_gm_median	intensity	False	True	133	83	True	ok	5.915445566	0.1157972362	0.224370505	3.354120842	0.310378622	-3.142128549	16.88530711	0.002216309621	0.9624513023	0.9986040026	-0.1549807878	0.9624513023	0.1783250913	0.8932952884	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""summary_gm_median"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	summary_gm_p05	intensity	False	True	133	83	True	ok	2.858134334	0.414019164	0.5391877484	-10.90968519	0.2196052316	-14.79610445	6.436072232	0.2674681663	0.6050352265	0.9986040026	-3.999245699	0.6050352265	0.1370991762	0.920655091	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""summary_gm_p05"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	summary_gm_p95	intensity	False	True	133	83	True	ok	7.488284774	0.05786023151	0.1980176833	12.59470013	0.0227653676	9.648047926	22.17611316	0.01826583197	0.8924923733	0.9986040026	-0.8733402177	0.8924923733	0.3556512852	0.8655680796	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""summary_gm_p95"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	summary_gm_stdv	intensity	False	True	133	83	True	ok	6.035728216	0.1098848493	0.224370505	7.786754438	0.02185475368	5.633986702	6.961335643	0.02281644708	0.8799353743	0.9986040026	0.6050715841	0.8799353743	0.2952723987	0.848593064	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""summary_gm_stdv"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	summary_wm_k	intensity	False	True	133	83	True	ok	5.647641461	0.1300699131	0.2427971711	0.07474252498	0.04574537159	-0.05063976652	0.01814521514	0.4834174697	0.4868784076	0.9986040026	-0.03623792669	0.4868784076	0.1164771395	0.6649330938	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""summary_wm_k"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	summary_wm_mad	intensity	False	True	133	83	True	ok	4.903499609	0.1790012996	0.2864020794	3.884181136	0.0873667458	4.541643568	-2.352187526	0.05764985431	0.8102497569	0.9986040026	-0.5879072249	0.8102497569	0.1300776445	0.8584441936	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""summary_wm_mad"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	summary_wm_mean	intensity	False	True	133	83	True	ok	6.199787542	0.1022845345	0.2203051512	-1.949117189	0.6482355483	-13.01406562	9.370828489	0.0007172930597	0.9786333489	0.9986040026	0.0931166833	0.9786333489	0.06740141522	0.9278696053	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""summary_wm_mean"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	summary_wm_median	intensity	False	True	133	83	True	ok	4.260422294	0.2346816619	0.3458466596	-4.133554114	0.2636434228	-9.181228325	3.133325681	0.04058610575	0.8403389537	0.9986040026	0.7355268707	0.8403389537	0.08306456392	0.8841558579	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""summary_wm_median"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	summary_wm_p05	intensity	False	True	133	83	True	ok	7.230010332	0.06491691794	0.1980176833	-4.294427054	0.6210589629	-24.5178738	30.50227869	0.01839402207	0.8921180864	0.9986040026	0.7105122052	0.8921180864	0.06846981841	0.9638789348	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""summary_wm_p05"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	summary_wm_p95	intensity	False	True	133	83	True	ok	18.64232051	0.0003241306305	0.01815131531	6.702667802	0.0008982969524	-6.864187878	5.826721428	0.001124892473	0.9732444335	0.9986040026	0.1156394999	0.9732444335	0.1702906445	0.3113520445	ROBUST_ACROSS_FAMILIES	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""summary_wm_p95"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	summary_wm_stdv	intensity	False	True	133	83	True	ok	6.891401335	0.07544092406	0.1980176833	3.088724998	0.2654732644	7.179106401	-8.837465061	0.1029687382	0.7482957054	0.9986040026	-0.7688657622	0.7482957054	0.06944729341	0.9160401968	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""summary_wm_stdv"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
