iqm	family_group	model	n_obs	n_subjects	r2	r2_adj	term	beta	se	p	ci_low	ci_high	vif	anatomy_sensitive_by_construction	selected_anatomy	fdr_q
rpve_gm	morphology / tissue	B_acquisition_age_sex_anatomy	132	83	0.7658005195059614	0.7545589444422476	icv_etiv	-2.465568944833884e-06	2.6293707010039787e-07	3.820952140585941e-16	-2.9859540395244787e-06	-1.9451838501432897e-06	2.7808277107323653	TRUE	icv_etiv+total_wm+mean_cortical_thickness	1.0698665993640636e-14
rpve_gm	morphology / tissue	B_acquisition_age_sex_anatomy	132	83	0.7658005195059614	0.7545589444422476	total_wm	-1.8105590334520964e-06	7.365841077143267e-07	0.015339450144861162	-3.268350399630125e-06	-3.5276766727406805e-07	2.7625549912036185	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.045211010953275
rpve_gm	morphology / tissue	B_acquisition_age_sex_anatomy	132	83	0.7658005195059614	0.7545589444422476	mean_cortical_thickness	0.8246763589505717	0.35015157755593873	0.020069718145436916	0.1316829298653035	1.5176697880358399	1.1686380010010804	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.06243912311913707
rpve_wm	morphology / tissue	A_acquisition_age_sex	132	83	0.22951184127153834	0.21145352505134007	"C(software_platform, Treatment(""E11""))[T.XA30]"	-0.11060968597817314	0.23593191989307247	0.6399955325605642	-0.5774412984118047	0.35622192645545847	1.054672241057326	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.7973352210726662
rpve_wm	morphology / tissue	A_acquisition_age_sex	132	83	0.22951184127153834	0.21145352505134007	C(sex)[T.M]	-0.6030241622832587	0.09773417780648769	8.31083359399348e-09	-0.7964079309397252	-0.4096403936267923	1.0341868013958861	TRUE	icv_etiv+total_wm+mean_cortical_thickness	9.308133625272697e-08
rpve_wm	morphology / tissue	A_acquisition_age_sex	132	83	0.22951184127153834	0.21145352505134007	age	0.00437043952454147	0.005217631598282553	0.4038004011392534	-0.005953536024060973	0.014694415073143913	1.0789157431589922	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.6650830136411233
rpve_wm	morphology / tissue	B_acquisition_age_sex_anatomy	132	83	0.7615216516255997	0.7500746909036284	"C(software_platform, Treatment(""E11""))[T.XA30]"	-0.35304640443419644	0.1359167141679655	0.010516763100015293	-0.6220424503143935	-0.0840503585539994	1.1043504240334137	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.11487695375085483
rpve_wm	morphology / tissue	B_acquisition_age_sex_anatomy	132	83	0.7615216516255997	0.7500746909036284	C(sex)[T.M]	-0.16423551967567332	0.061362638736543414	0.008437904645006876	-0.2856797974155453	-0.04279124193580139	1.2862671374116312	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.029532666257524067
rpve_wm	morphology / tissue	B_acquisition_age_sex_anatomy	132	83	0.7615216516255997	0.7500746909036284	age	0.006899218704083308	0.0031382178334312737	0.02975798067200433	0.0006882961293916421	0.013110141278774974	1.2314702819886814	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.10415293235201516
rpve_wm	morphology / tissue	B_acquisition_age_sex_anatomy	132	83	0.7615216516255997	0.7500746909036284	icv_etiv	-2.4525609267257086e-06	2.640168514305119e-07	6.219944638661624e-16	-2.9750830426796116e-06	-1.9300388107718055e-06	2.7808277107323653	TRUE	icv_etiv+total_wm+mean_cortical_thickness	1.1610563325501699e-14
rpve_wm	morphology / tissue	B_acquisition_age_sex_anatomy	132	83	0.7615216516255997	0.7500746909036284	total_wm	-1.8009922267842995e-06	7.396089750990017e-07	0.016300746512644834	-3.264770180931075e-06	-3.3721427263752424e-07	2.7625549912036185	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.04564209023540553
rpve_wm	morphology / tissue	B_acquisition_age_sex_anatomy	132	83	0.7615216516255997	0.7500746909036284	mean_cortical_thickness	0.8106598601568136	0.3515895152952257	0.022774852038772487	0.11482057382390698	1.5064991464897202	1.1686380010010804	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.06376958570856296
snr_csf	signal / SNR	A_acquisition_age_sex	132	83	0.1899890882322659	0.17100445748770965	"C(software_platform, Treatment(""E11""))[T.XA30]"	0.026167688663328928	0.05829765189785597	0.6542891243953572	-0.0891841757597002	0.14151955308635805	1.054672241057326	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.7973352210726662
snr_csf	signal / SNR	A_acquisition_age_sex	132	83	0.1899890882322659	0.17100445748770965	C(sex)[T.M]	0.13171638557119736	0.02414964909736691	2.444162114432199e-07	0.08393217886894344	0.17950059227345128	1.0341868013958861	TRUE	icv_etiv+total_wm+mean_cortical_thickness	1.9553296915457594e-06
snr_csf	signal / SNR	A_acquisition_age_sex	132	83	0.1899890882322659	0.17100445748770965	age	-0.0005652841868500715	0.0012892518773457474	0.6617926547061784	-0.003116289294625122	0.001985720920924979	1.0789157431589922	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.9320236028916243
snr_csf	signal / SNR	B_acquisition_age_sex_anatomy	132	83	0.2887390561928086	0.25459853089006335	"C(software_platform, Treatment(""E11""))[T.XA30]"	0.06403151769069644	0.056567212798689245	0.2598203342315615	-0.04792201696072804	0.17598505234212092	1.1043504240334137	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.5853698343092762
snr_csf	signal / SNR	B_acquisition_age_sex_anatomy	132	83	0.2887390561928086	0.25459853089006335	C(sex)[T.M]	0.0944226156490468	0.025538532656179065	0.0003248581637902857	0.043878689950513375	0.14496654134758025	1.2862671374116312	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.0025988653103222858
snr_csf	signal / SNR	B_acquisition_age_sex_anatomy	132	83	0.2887390561928086	0.25459853089006335	age	-0.0010017536184029514	0.0013060957004373233	0.4445376345165386	-0.003586679108321638	0.001583171871515735	1.2314702819886814	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.6728137171061125
snr_csf	signal / SNR	B_acquisition_age_sex_anatomy	132	83	0.2887390561928086	0.25459853089006335	icv_etiv	3.8293557567176966e-07	1.0988124241183048e-07	0.0006793575584640257	1.6546695964373222e-07	6.00404191699807e-07	2.7808277107323653	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.00634067054566424
snr_csf	signal / SNR	B_acquisition_age_sex_anatomy	132	83	0.2887390561928086	0.25459853089006335	total_wm	-3.231242086800424e-07	3.07818052682931e-07	0.29586999424774324	-9.323343380532725e-07	2.860859206931878e-07	2.7625549912036185	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.4360189388914111
snr_csf	signal / SNR	B_acquisition_age_sex_anatomy	132	83	0.2887390561928086	0.25459853089006335	mean_cortical_thickness	-0.06840531171821926	0.1463281322774987	0.6409712326859189	-0.35800684619203316	0.22119622275559467	1.1686380010010804	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.7325385516410502
snr_gm	signal / SNR	A_acquisition_age_sex	132	83	0.18013119007395018	0.1609155148413084	"C(software_platform, Treatment(""E11""))[T.XA30]"	-0.19515654712991548	0.2337108276945631	0.4052542934184493	-0.6575933491756021	0.26728025491577106	1.054672241057326	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.7973352210726662
snr_gm	signal / SNR	A_acquisition_age_sex	132	83	0.18013119007395018	0.1609155148413084	C(sex)[T.M]	-0.2569299570062991	0.09681409620009844	0.008967090110952359	-0.44849318700875096	-0.0653667270038473	1.0341868013958861	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.0185984091190123
snr_gm	signal / SNR	A_acquisition_age_sex	132	83	0.18013119007395018	0.1609155148413084	age	-0.019620213218395834	0.005168512170767643	0.0002258675477996551	-0.029846997587614856	-0.009393428849176811	1.0789157431589922	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.0014053980751978538
