IQM	IQM_family	model	predictor	term	coefficient	SE	statistic	p_value	q_value	CI_low	CI_high	std_coefficient	n_observations	n_subjects	converged	status	exclusion_reason	fdr_family	exploratory	acquisition_variable
summary_wm_mad	intensity	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	4.317173129	3.027501264	1.425985574	0.1538725061	0.4652840493	-1.616620312	10.25096657	0.579286631	133	83	True	ok		model_A_Data_ON	False	
summary_wm_mean	intensity	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-12.97701253	5.656616591	-2.294129773	0.02178304568	0.3737447971	-24.06377733	-1.890247741	-0.9398785436	133	83	True	ok		model_A_Data_ON	False	
summary_wm_median	intensity	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-8.898860804	4.915509051	-1.810364036	0.07023935259	0.3933403745	-18.53308151	0.7353599007	-0.7441945115	133	83	True	ok		model_A_Data_ON	False	
summary_wm_p05	intensity	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-24.24487732	11.47813687	-2.112265918	0.03466364742	0.3882328511	-46.7416122	-1.748142436	-0.8692475033	133	83	True	ok		model_A_Data_ON	False	
summary_wm_p95	intensity	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-6.824608118	2.88762335	-2.363399686	0.01810812829	0.3737447971	-12.48424588	-1.164970351	-0.856393428	133	83	True	ok		model_A_Data_ON	False	
summary_wm_stdv	intensity	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	6.885259926	3.67722307	1.872407465	0.0611502531	0.3933403745	-0.3219648547	14.09248471	0.7711496687	133	83	True	ok		model_A_Data_ON	False	
tpm_overlap_csf	morphology / tissue	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	0.002346550241	0.004985499253	0.4706750763	0.6378727854	0.9169726886	-0.007424848739	0.01211794922	0.1654365638	133	83	True	ok		model_A_Data_ON	False	
tpm_overlap_gm	morphology / tissue	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.0003578546402	0.003147285092	-0.1137026452	0.9094735155	0.9431577198	-0.00652642007	0.005810710789	-0.04340600102	133	83	True	ok		model_A_Data_ON	False	
tpm_overlap_wm	morphology / tissue	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	0.00339354152	0.004067447791	0.8343171677	0.4041022802	0.77167998	-0.004578509658	0.0113655927	0.3189427205	133	83	True	ok		model_A_Data_ON	False	
wm2max	intensity	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	0.0363612268	0.02458264153	1.479142376	0.1391022666	0.4652840493	-0.01181986524	0.08454231885	0.5457318819	133	83	True	ok		model_A_Data_ON	False	
cjv	contrast	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.06485658899	0.04694598256	1.381515211	0.1671206043	0.4995811746	-0.02715584606	0.156869024	0.9043157331	133	83	True	ok		model_A_Data_TON	False	
cnr	contrast	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-0.1754766198	0.1437918359	-1.220351759	0.2223315567	0.4995811746	-0.4573034395	0.1063501999	-0.8009606001	133	83	True	ok		model_A_Data_TON	False	
efc	entropy / information	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.01404163095	0.02343484899	0.5991773598	0.5490546186	0.7306429527	-0.03188982906	0.05997309096	0.3621700595	133	83	True	ok		model_A_Data_TON	False	
fber	entropy / information	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	243.3686089	3559.928318	0.06836334533	0.9454963997	0.9729516546	-6733.962681	7220.699899	0.0470362776	133	83	True	ok		model_A_Data_TON	False	
fwhm_avg	smoothness / sharpness	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.1307433694	0.1388788911	0.9414200267	0.3464896547	0.6345650806	-0.1414542554	0.4029409942	0.6956433314	133	83	True	ok		model_A_Data_TON	False	
fwhm_x	smoothness / sharpness	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.1074407629	0.1335024828	0.8047847552	0.4209439004	0.6735102406	-0.1542192952	0.3691008211	0.5940403883	133	83	True	ok		model_A_Data_TON	False	
fwhm_y	smoothness / sharpness	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.1969130295	0.153675098	1.281359388	0.200067462	0.4995811746	-0.1042846279	0.498110687	0.9219608207	133	83	True	ok		model_A_Data_TON	False	
fwhm_z	smoothness / sharpness	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.08805821235	0.1493524756	0.5895999515	0.5554588842	0.7306429527	-0.2046672608	0.3807836855	0.4488812981	133	83	True	ok		model_A_Data_TON	False	
icvs_csf	morphology / tissue	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-0.001889376406	0.004407097603	-0.4287121766	0.6681326981	0.7635802264	-0.01052712898	0.006748376173	-0.2964172696	133	83	True	ok		model_A_Data_TON	False	
icvs_gm	morphology / tissue	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-0.006722934659	0.004151354173	-1.619455816	0.1053492258	0.4995811746	-0.01485943933	0.001413570006	-0.998135075	133	83	True	ok		model_A_Data_TON	False	
icvs_wm	morphology / tissue	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.008771589234	0.004212264546	2.082392769	0.03730660836	0.3129036321	0.00051570243	0.01702747604	1.272671617	133	83	True	ok		model_A_Data_TON	False	
inu_med	homogeneity / bias field	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-0.007663529366	0.03967643409	-0.1931506583	0.8468409799	0.894775375	-0.08542791123	0.07010085249	-0.1266438168	133	83	True	ok		model_A_Data_TON	False	
inu_range	homogeneity / bias field	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.001808268211	0.0331510287	0.054546368	0.9564998672	0.9729516546	-0.06316655409	0.06678309052	0.0337671767	133	83	True	ok		model_A_Data_TON	False	
qi_2	artifact	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.0003406898735	0.0004004450136	0.8507781641	0.3948925936	0.6504113307	-0.000444167931	0.001125547678	0.5870445507	133	83	True	ok		model_A_Data_TON	False	
rpve_csf	morphology / tissue	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-0.5572126854	0.4024786621	-1.384452737	0.1662198703	0.4995811746	-1.346056368	0.2316309968	-0.8955088756	133	83	True	ok		model_A_Data_TON	False	
rpve_gm	morphology / tissue	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-0.558723371	0.404199652	-1.382295527	0.1668809789	0.4995811746	-1.350940131	0.2334933896	-0.8952453219	133	83	True	ok		model_A_Data_TON	False	
rpve_wm	morphology / tissue	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-0.5497943235	0.4034479214	-1.362739264	0.1729646987	0.4995811746	-1.340537719	0.2409490721	-0.8852563639	133	83	True	ok		model_A_Data_TON	False	
snr_csf	signal / SNR	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.2657463133	0.09525294058	2.789901411	0.005272409373	0.2952549249	0.07905398033	0.4524386462	1.784793888	133	83	True	ok		model_A_Data_TON	False	
snr_gm	signal / SNR	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-0.2238605682	0.3982874159	-0.562057849	0.5740766057	0.7306429527	-1.004489559	0.5567684223	-0.3744521972	133	83	True	ok		model_A_Data_TON	False	
snr_total	signal / SNR	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.4289815857	0.4322035974	0.9925451529	0.3209316647	0.6296787815	-0.4181218992	1.276085071	0.7092827192	133	83	True	ok		model_A_Data_TON	False	
snr_wm	signal / SNR	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	1.244849069	0.9965586244	1.249147856	0.2116109999	0.4995811746	-0.7083699437	3.198068081	0.9099572083	133	83	True	ok		model_A_Data_TON	False	
snrd_csf	signal / SNR	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-6.688654452	10.84246035	-0.6168945273	0.5373042968	0.7306429527	-27.93948624	14.56217734	-0.4071723097	133	83	True	ok		model_A_Data_TON	False	
snrd_gm	signal / SNR	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-13.68679251	20.28933005	-0.6745808007	0.4999421344	0.7306429527	-53.45314868	26.07956366	-0.4330873881	133	83	True	ok		model_A_Data_TON	False	
snrd_total	signal / SNR	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-12.96148121	19.37755523	-0.6688914603	0.5035647181	0.7306429527	-50.94079156	25.01782914	-0.4312986721	133	83	True	ok		model_A_Data_TON	False	
snrd_wm	signal / SNR	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-18.51571874	27.12681234	-0.6825615375	0.4948839452	0.7306429527	-71.68329395	34.65185647	-0.437976443	133	83	True	ok		model_A_Data_TON	False	
summary_bg_k	intensity	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-1033.35556	1052.261682	-0.9820328707	0.3260836547	0.6296787815	-3095.750558	1029.039438	-0.667188912	133	83	True	ok		model_A_Data_TON	False	
summary_bg_mad	intensity	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.719671747	1.652071217	0.4356178714	0.6631140022	0.7635802264	-2.518328339	3.957671833	0.2753960547	133	83	True	ok		model_A_Data_TON	False	
summary_bg_mean	intensity	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	3.878776579	3.183192695	1.218517681	0.2230273101	0.4995811746	-2.360166458	10.11771962	0.7614103768	133	83	True	ok		model_A_Data_TON	False	
summary_bg_median	intensity	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.4854119432	1.11430677	0.4356178714	0.6631140022	0.7635802264	-1.698589194	2.66941308	0.2753960547	133	83	True	ok		model_A_Data_TON	False	
summary_bg_p95	intensity	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	5.353626378	9.503005875	0.5633613667	0.5731888386	0.7306429527	-13.27192288	23.97917564	0.3481427717	133	83	True	ok		model_A_Data_TON	False	
summary_bg_stdv	intensity	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	23.69783356	15.30160411	1.548715637	0.1214500932	0.4995811746	-6.292759405	53.68842652	0.9981193569	133	83	True	ok		model_A_Data_TON	False	
summary_csf_k	intensity	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.115340357	0.105464821	1.0936382	0.2741136884	0.5685320945	-0.09136689377	0.3220476077	0.7688735806	133	83	True	ok		model_A_Data_TON	False	
summary_csf_mad	intensity	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-10.49488827	8.450451037	-1.24193232	0.214261534	0.4995811746	-27.05746795	6.067691421	-0.8665636458	133	83	True	ok		model_A_Data_TON	False	
summary_csf_mean	intensity	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	40.31591398	20.75996911	1.942002599	0.0521367856	0.324406666	-0.3728777988	81.00470575	1.279966473	133	83	True	ok		model_A_Data_TON	False	
summary_csf_median	intensity	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	50.16486222	24.31650296	2.062996571	0.03911295401	0.3129036321	2.505392182	97.82433226	1.360315044	133	83	True	ok		model_A_Data_TON	False	
summary_csf_p05	intensity	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	34.40215876	16.35262881	2.103769318	0.03539857442	0.3129036321	2.351595242	66.45272227	1.34056912	133	83	True	ok		model_A_Data_TON	False	
summary_csf_p95	intensity	A_cohort_demographic	Data_TON	"C(cohort, Treatment(""Control""))[T.Data_TON]"	32.68935918	21.86879341	1.494794823	0.1349679978	0.4995811746	-10.17268829	75.55140665	1.027984914	133	83	True	ok		model_A_Data_TON	False	
