pc	rank_abs_loading	iqm	iqm_family	family_group	loading	abs_loading	loading_squared	contribution	sign	in_top10	explained_variance_ratio	cumulative_ratio	sum_loading_squared
PC9	1	summary_csf_k	intensity_summary	intensity	0.5200007757	0.5200007757	0.2704008067	0.2704008067	+	True	0.02046336668	0.8931762362	1
PC9	2	summary_bg_k	intensity_summary	intensity	-0.4937201908	0.4937201908	0.2437596268	0.2437596268	-	True	0.02046336668	0.8931762362	1
PC9	3	tpm_overlap_wm	template_overlap	morphology / tissue	-0.3727853806	0.3727853806	0.13896894	0.13896894	-	True	0.02046336668	0.8931762362	1
PC9	4	fber	energy	entropy / information	0.2488698078	0.2488698078	0.06193618123	0.06193618124	+	True	0.02046336668	0.8931762362	1
PC9	5	tpm_overlap_gm	template_overlap	morphology / tissue	-0.2351818786	0.2351818786	0.05531051602	0.05531051602	-	True	0.02046336668	0.8931762362	1
PC9	6	efc	entropy	entropy / information	-0.1830263351	0.1830263351	0.03349863934	0.03349863934	-	True	0.02046336668	0.8931762362	1
PC9	7	qi_2	artifact	artifact	0.1777985375	0.1777985375	0.03161231994	0.03161231994	+	True	0.02046336668	0.8931762362	1
PC9	8	summary_wm_median	intensity_summary	intensity	-0.1393035597	0.1393035597	0.01940548175	0.01940548175	-	True	0.02046336668	0.8931762362	1
PC9	9	summary_wm_mean	intensity_summary	intensity	-0.1106398176	0.1106398176	0.01224116924	0.01224116924	-	True	0.02046336668	0.8931762362	1
PC9	10	summary_csf_p05	intensity_summary	intensity	-0.1062605166	0.1062605166	0.01129129739	0.01129129739	-	True	0.02046336668	0.8931762362	1
PC10	1	summary_bg_k	intensity_summary	intensity	0.4570359158	0.4570359158	0.2088818283	0.2088818283	+	True	0.01712710198	0.9103033381	0.9999999999
PC10	2	tpm_overlap_wm	template_overlap	morphology / tissue	-0.3316471528	0.3316471528	0.109989834	0.109989834	-	True	0.01712710198	0.9103033381	0.9999999999
PC10	3	tpm_overlap_gm	template_overlap	morphology / tissue	-0.3127854524	0.3127854524	0.09783473923	0.09783473924	-	True	0.01712710198	0.9103033381	0.9999999999
PC10	4	qi_2	artifact	artifact	-0.2714800598	0.2714800598	0.07370142287	0.07370142288	-	True	0.01712710198	0.9103033381	0.9999999999
PC10	5	icvs_csf	tissue_fraction	morphology / tissue	-0.2510270638	0.2510270638	0.06301458676	0.06301458677	-	True	0.01712710198	0.9103033381	0.9999999999
PC10	6	summary_wm_median	intensity_summary	intensity	-0.2067166212	0.2067166212	0.04273176148	0.04273176148	-	True	0.01712710198	0.9103033381	0.9999999999
PC10	7	summary_bg_p95	intensity_summary	intensity	0.1860524039	0.1860524039	0.034615497	0.034615497	+	True	0.01712710198	0.9103033381	0.9999999999
PC10	8	summary_bg_median	intensity_summary	intensity	0.1750191024	0.1750191024	0.0306316862	0.03063168621	+	True	0.01712710198	0.9103033381	0.9999999999
PC10	9	summary_bg_mad	intensity_summary	intensity	0.1750191024	0.1750191024	0.0306316862	0.03063168621	+	True	0.01712710198	0.9103033381	0.9999999999
PC10	10	summary_gm_mad	intensity_summary	intensity	-0.1496177779	0.1496177779	0.02238547946	0.02238547947	-	True	0.01712710198	0.9103033381	0.9999999999
