subject	session	n_t1w	run	acq	ProtocolName	SeriesDescription	ImageType	NORM_status	SeriesInstanceUID	AcquisitionNumber	SeriesNumber	RepetitionTime	EchoTime	FlipAngle	SliceThickness	voxel_size	size_x	size_y	size_z	SAR	ShimSetting	series_time	n_dicom_files	dicom_match	n_acquisition_clusters	session_pattern	has_norm_non_norm_pair	consecutive_series	same_acquisition_parameters	same_SeriesInstanceUID	series_time_delta_s	json_differing_keys	bids_name
sub-064	ses-02	2	2		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND,NORM	NORM	1.3.12.2.1107.5.2.43.166092.2024060115395817503247487.0.0.0	1	48	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.0473374	-1571,1278,-11278,290,4,-372,-123,15	154719.288	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.433	ImageType,SeriesNumber	sub-064_ses-02_run-02_T1w
sub-065	ses-01	2	1		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND	non-NORM	1.3.12.2.1107.5.2.43.166092.2025030711582186780648045.0.0.0	1	48	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.0362518	-1555,1268,-11227,478,-34,-192,-5,15	115839.483	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.989	ImageType,SeriesNumber	sub-065_ses-01_run-01_T1w
sub-065	ses-01	2	2		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND,NORM	NORM	1.3.12.2.1107.5.2.43.166092.2025030711505382005947824.0.0.0	1	49	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.0362518	-1555,1268,-11227,478,-34,-192,-5,15	115840.472	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.989	ImageType,SeriesNumber	sub-065_ses-01_run-02_T1w
sub-066	ses-01	1	2		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND,NORM	NORM	1.3.12.2.1107.5.2.43.166092.2023082310372164367947168.0.0.0	1	48	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.0466681	-1585,1245,-11246,404,62,-154,214,9	104426.123	208	unique	1	SINGLE_VOLUME	False	False	True	False			sub-066_ses-01_run-02_T1w
sub-066	ses-02	2	1		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND	non-NORM	1.3.12.2.1107.5.2.43.166092.2024022111001376279947704.0.0.0	1	47	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.037197	-1583,1267,-11273,341,-12,-286,55,61	110031.253	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.454	ImageType,SeriesNumber	sub-066_ses-02_run-01_T1w
sub-066	ses-02	2	2		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND,NORM	NORM	1.3.12.2.1107.5.2.43.166092.2024022110525650878747487.0.0.0	1	48	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.037197	-1583,1267,-11273,341,-12,-286,55,61	110031.707	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.454	ImageType,SeriesNumber	sub-066_ses-02_run-02_T1w
sub-067	ses-01	2	1		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND	non-NORM	1.3.12.2.1107.5.2.43.166092.2023091309545263951247700.0.0.0	1	47	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.0354363	-1556,1324,-11278,152,141,-290,-77,26	95458.865	416	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.211	ImageType,SeriesNumber	sub-067_ses-01_run-01_T1w
sub-067	ses-01	2	2		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND,NORM	NORM	1.3.12.2.1107.5.2.43.166092.2023091309474997332747487.0.0.0	1	48	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.0354363	-1556,1324,-11278,152,141,-290,-77,26	95459.076	416	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.211	ImageType,SeriesNumber	sub-067_ses-01_run-02_T1w
sub-067	ses-02	2	1		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND	non-NORM	1.3.12.2.1107.5.2.43.166092.2024031810345934450847714.0.0.0	1	47	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.0350466	-1548,1351,-11297,184,50,-84,20,-22	103509.135	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.262	ImageType,SeriesNumber	sub-067_ses-02_run-01_T1w
sub-067	ses-02	2	2		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND,NORM	NORM	1.3.12.2.1107.5.2.43.166092.2024031810274917695047487.0.0.0	1	48	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.0350466	-1548,1351,-11297,184,50,-84,20,-22	103509.397	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.262	ImageType,SeriesNumber	sub-067_ses-02_run-02_T1w
