iqm	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56
icvs_wm	0.1944896465	-0.03655643205	-0.03008528184	0.01773966909	-0.005414164435	-0.01564184046	-0.04497173304	0.07647043024	0.009597508319	0.1495358022	-0.1043384273	-0.2007815625	-0.04921665558	-0.1049457708	-0.1972929936	0.003340091597	-0.167073213	0.1455578808	0.08675551168	-0.03996058746	0.1191235962	-0.1017994314	-0.08869559643	-0.03452422091	0.00467947764	0.08643262001	-0.08541647266	0.04820027354	0.1211739627	-0.05987472559	-0.01201165172	0.1522659259	-0.1291554508	0.08642710138	0.1221102671	0.03755677509	0.03489023211	-0.07547053627	0.2739201392	-0.09291566747	0.05787685016	0.01552983138	0.03877845242	0.04529397952	0.02501762906	-0.001002689059	-0.01384234656	-0.008132289337	0.009780455305	-0.000706829386	0.000809951214	0.3323679499	0.652041523	0.007304285501	-0.001206510808	0.006611754887
inu_med	0.1960031378	-0.07514577911	0.04239545631	-0.05107306284	-0.04933349091	0.0004249129884	-0.03458903753	0.02559397731	-0.02456317248	0.02496271574	0.005743918674	-0.1102538291	-0.08307380542	-0.008348460032	-0.01198989961	-0.07580564569	-0.05783760699	-0.09523795055	-0.1450724264	0.1052905408	0.00137861536	0.07951290275	-0.1762188088	-0.1215855654	0.163500454	0.005559616595	0.1103239192	-0.2722638787	-0.08070456418	-0.1206092601	-0.6491779118	-0.3645944753	-0.1613900704	-0.1337672675	-0.03324499313	0.2119778169	0.08129306435	0.1707727977	0.02678191917	0.0248319894	-0.0551406505	-0.05146255129	0.04859052426	0.007371181601	-0.01278790094	0.004932564777	0.006408096124	-0.01848237442	-0.002781311991	-0.002889609782	-1.159483291e-05	-3.053113318e-16	1.776356839e-15	-9.870576578e-16	-1.812786032e-16	-2.13587828e-16
inu_range	0.198724725	-0.02796159784	0.04673008898	0.01073629369	-0.05236072861	-0.02008829869	-0.08310435623	0.04955280478	0.03506775465	0.03353477176	-0.03161692603	-0.0287560746	-0.0316377186	0.0890097842	-0.07394433585	-0.08111252499	-0.0712719349	-0.1022234661	-0.1936595604	0.1521417408	-0.1122531509	0.07797969518	-0.02808637688	0.03296452006	0.1496654407	0.04805040079	0.2098306082	-0.07119835199	-0.1471296902	0.1681721397	-0.2548835117	0.5173501012	0.5603598571	0.1001724185	0.04611254581	-0.1497970447	-0.08361562764	-0.09406345978	0.001510945077	0.02343181867	0.009248282799	0.03185306963	-0.003644748562	0.01934422918	0.007354706764	0.001290754726	-0.01050666379	0.002094979838	0.005031234492	-0.001045459433	0.0007011133355	-2.511879593e-15	-4.773959006e-15	2.844946501e-16	2.940356292e-16	3.829402073e-16
qi_2	0.0361189323	0.1415618101	-0.2182077831	-0.0271231175	-0.09486584754	0.1997363198	0.1646474514	-0.03690115426	0.1777985375	-0.2714800598	-0.126943729	0.2055349036	-0.3031981243	-0.07054252171	-0.0419201724	-0.6091108809	-0.2461343918	-0.1382154747	0.06672776987	-0.04288809384	0.08329575337	0.0318589754	-0.09499283142	0.291323415	0.03018410641	-0.04129104589	-0.09928394499	0.03784144014	0.04408636077	0.02156515071	0.03133397645	-5.062702779e-05	-0.001111920446	-0.09219005147	0.06433890678	0.02897380862	0.02383408311	0.01736399546	-0.005849914359	0.0007793555688	0.00609052918	-0.004797179523	0.001064803944	-0.00148083317	-0.002564001185	-0.002604275183	-0.001775032983	0.0002876885085	-0.002399085916	-0.0001607444282	5.808725587e-05	2.775557562e-16	1.318389842e-16	-2.393918397e-16	-4.683753385e-17	-3.415236843e-16
rpve_csf	-0.05930516021	-0.2200433477	0.1726723806	-0.118136147	-0.189776546	0.09068053336	-0.02980308424	0.3842889492	-0.01613985607	-0.06152419982	-0.0291114357	0.123627835	-0.02971787073	-0.005733309933	0.007069020337	-0.0314925569	0.04438567537	0.07514646918	0.004060939858	-0.05933581776	-0.008331407457	-0.1074407728	0.0173797492	0.02004807861	-0.006409054393	0.005232511445	0.007826867092	0.0006315366818	0.003410890763	0.01757086636	-0.003725866089	-0.007133282153	0.001922382443	0.0102279226	-0.01320717893	0.003527155898	0.005057446513	0.01583858062	0.006466490037	0.005750352239	0.006653098086	0.0157132013	-0.01086937512	-0.01608259647	0.01464566158	0.008916051649	0.001437762875	-0.004740439813	-0.05104544478	0.4509610685	0.6765809689	2.853273173e-13	5.920403057e-13	1.628905344e-14	-3.797309689e-15	1.075571923e-14
rpve_gm	-0.06814258009	-0.2112075376	0.1739070899	-0.1178509843	-0.1858239852	0.09201899717	-0.02509035404	0.3860702314	-0.01708362658	-0.06226125542	-0.02097697234	0.1236785704	-0.03034050528	0.004427306265	0.005380689448	-0.03253266827	0.04976185999	0.07069816827	-0.001477697367	-0.05946093545	-0.008678572522	-0.1030457451	0.01136753754	0.01989794948	0.001414497141	0.01097087749	0.009472313138	-6.77787758e-05	0.005158266687	0.0207829941	-0.005035169783	-0.001425195934	-0.01003855656	0.01206402682	-0.004352998146	0.001342147711	0.00769441669	0.003197871347	0.003190460236	-0.004960627914	0.004993998119	0.006548680154	-0.005467853349	0.02145629465	-0.01222113582	-0.002245699287	-0.005139314074	-0.01720782845	0.0117628207	0.3626260486	-0.7321433917	-7.120692924e-14	-2.628314233e-13	-1.37737044e-15	1.433228536e-14	-6.691262128e-15
rpve_wm	-0.06766199415	-0.2108584168	0.1734950523	-0.1203357549	-0.1823761173	0.09293249869	-0.02666746979	0.390264182	-0.01654261332	-0.06231178017	-0.01828245209	0.1231528026	-0.03389536614	0.01017514533	0.005457076331	-0.03218585119	0.05372180961	0.06660128807	-0.002503952864	-0.0604915435	-0.01065524867	-0.1045135474	0.01071222835	0.02248611602	0.0003644377864	0.01683507311	0.01216369028	0.002604262646	0.006205875133	0.0214244888	6.579487058e-05	0.006692848086	-0.01814257224	0.007818160765	-0.00973153048	0.008272744388	0.004722734652	-0.009039462894	-0.003813740771	-0.00874365768	-0.008351857902	-0.02274882473	0.01732963632	0.006721969121	-0.004285305916	-0.008955374583	0.00805459974	0.02265844471	0.04059174472	-0.8118604866	0.05235566574	-2.141203881e-13	-3.304578833e-13	-1.480239542e-14	-1.037277902e-14	-4.163770023e-15
snr_csf	-0.0367108476	0.1803271724	-0.1146910369	-0.143233806	0.2954185837	0.0373381192	-0.2511999893	0.2409064603	-0.05272147341	-0.1332685252	-0.04211029329	0.114222539	-0.04573776078	-0.09754637318	0.07477520224	0.1083405915	-0.01415312495	-0.1670701581	0.1507142414	0.1067604591	-0.03633018387	0.01477195738	0.0691165241	-0.06046730422	0.04155548748	0.03409620198	-0.007406710687	0.2226911735	0.09338739094	-0.5303721318	-0.1046960235	0.07062858456	0.1641952877	-0.1285329259	-0.04166042247	-0.04847146548	-0.07307295337	0.09239342277	0.1130876856	-0.1244710619	-0.06033623631	-0.184741732	-0.2981635243	0.08596884125	0.003182070759	0.008661246276	0.01303399314	-0.005053282439	-0.01108434191	-0.00135037968	-0.0004132670355	-0.007224234146	0.004228683154	-0.051824191	-0.02677729137	-0.001503612195
snr_gm	-0.1504607928	0.1854364121	0.1463122177	-0.05976554014	-0.07457362242	0.1362753958	0.006049721008	-0.04698379657	-0.01738347703	0.04253056059	-0.1310002397	0.06541674491	0.1337456324	-0.1229660024	-0.02197399561	-0.0009458865289	0.08505430008	-0.02255900716	0.05323747591	-0.01033019744	-0.01088963509	0.1447881591	-0.07524329147	-0.03910847162	0.2741790963	-0.05568575981	0.07978170711	0.1402660614	-0.08913842788	-0.05433563868	-0.04369648808	-0.0700140774	-0.06135719601	0.416539328	0.5498370811	0.06666058537	0.1449672347	-0.09110214687	-0.1708736824	0.01019497321	-0.1354185207	0.01396012409	-0.04828193379	0.08920137502	0.05274160622	0.0674119517	0.1339456948	0.01013086678	-0.01622747041	0.00150378087	0.007242259368	-0.03388060642	0.01983190837	-0.2430479111	-0.1255815982	-0.007051722293
snr_total	-0.1459353365	0.2363990714	0.09760114654	-0.007866523107	0.03159977687	0.04942531274	0.1279145534	0.1346628495	-0.0005847608834	0.09208250106	0.03201873487	-0.06847242955	0.05970759881	-0.07967616073	-0.1288340876	-0.0007938180892	-0.03712605148	-0.06980694442	0.05934672529	-0.03653075216	0.02559314303	0.04259179571	0.008674125883	-0.01999322701	0.1185339004	0.03456774655	0.05707387116	0.1298829158	-0.1116987656	0.0604498151	0.03357196079	-0.1412163323	0.1961124667	0.09631210894	-0.007109920019	0.1664395892	0.1514882647	0.04858608376	0.04548996528	-0.09384688952	0.03087102541	-0.05407425182	0.03263506029	0.05423024276	-0.03723593397	0.015160681	0.04062282862	-0.002126089363	-0.001807130636	0.001441659694	0.003788894377	0.09689201071	-0.05671543933	0.6950702272	0.3591391904	0.02016656796
