path_original	path_resolved	exists	subject_source	session_source	extension	inventory_category	paradigm	role	size_bytes	contents_summary	potential_bids_destination
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/Movie1B.mp4	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/Movie1B.mp4	True	SUBC001	ses-01	.mp4	stimulus	task-movie	movie_stimulus_file	181514135	MP4 naturalistic movie segment (copyright-flagged)	bids/stimuli/Movie1B.mp4
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/Movie2A.mp4	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/Movie2A.mp4	True	SUBC001	ses-01	.mp4	stimulus	task-movie	movie_stimulus_file	178229515	MP4 naturalistic movie segment (copyright-flagged)	bids/stimuli/Movie2A.mp4
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/Movie2B.mp4	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/Movie2B.mp4	True	SUBC001	ses-01	.mp4	stimulus	task-movie	movie_stimulus_file	173312179	MP4 naturalistic movie segment (copyright-flagged)	bids/stimuli/Movie2B.mp4
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/Results/May-05-2023_ 3-10-18_PM_Subject_is_050_selected_run_id_1.mat	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/Results/May-05-2023_ 3-10-18_PM_Subject_is_050_selected_run_id_1.mat	True	SUBC001	ses-01	.mat	task_timing	task-movie	movie_run_selection_log	586	run_id, change_eye; NO triggerTimes/frame onsets	bids/sub-001/ses-01/func/May-05-2023__3-10-18_PM_Subject_is_050_selected_run_id_1_events.tsv
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/Results/May-05-2023_ 3-14-38_PM_Subject_is_050_selected_run_id_2.mat	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/Results/May-05-2023_ 3-14-38_PM_Subject_is_050_selected_run_id_2.mat	True	SUBC001	ses-01	.mat	task_timing	task-movie	movie_run_selection_log	587	run_id, change_eye; NO triggerTimes/frame onsets	bids/sub-001/ses-01/func/May-05-2023__3-14-38_PM_Subject_is_050_selected_run_id_2_events.tsv
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/Results/May-05-2023_ 3-18-37_PM_Subject_is_050_selected_run_id_3.mat	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/Results/May-05-2023_ 3-18-37_PM_Subject_is_050_selected_run_id_3.mat	True	SUBC001	ses-01	.mat	task_timing	task-movie	movie_run_selection_log	587	run_id, change_eye; NO triggerTimes/frame onsets	bids/sub-001/ses-01/func/May-05-2023__3-18-37_PM_Subject_is_050_selected_run_id_3_events.tsv
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/Results/May-05-2023_ 3-22-30_PM_Subject_is_050_selected_run_id_4.mat	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/Results/May-05-2023_ 3-22-30_PM_Subject_is_050_selected_run_id_4.mat	True	SUBC001	ses-01	.mat	task_timing	task-movie	movie_run_selection_log	587	run_id, change_eye; NO triggerTimes/frame onsets	bids/sub-001/ses-01/func/May-05-2023__3-22-30_PM_Subject_is_050_selected_run_id_4_events.tsv
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/Show_movie.m	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/Show_movie.m	True	SUBC001	ses-01	.m	stimulus	task-movie	stimulus_script	4743	Movie selection + playback (trigger t; no saved timing)	bids/stimuli/Show_movie.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/main.m	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/3-Movie_Data/main.m	True	SUBC001	ses-01	.m	stimulus	task-movie	stimulus_script	2901	Movie selection + playback (trigger t; no saved timing)	bids/stimuli/main.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/4-resting state/main.m	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/4-resting state/main.m	True	SUBC001	ses-01	.m	unknown	task-rest	stimulus_script	6267	Fixation rest presentation	reports/associated_data/unclassified/sub-001/ses-01/main.m
