participant_id	session_id	bids_run	has_events_tsv	reconstruction_status	in_level1_session	can_reconstruct_complete_events	blockers
sub-080	ses-01	07	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-080	ses-01	05	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-019	ses-01	01	True	already_released	True	YES	
sub-019	ses-01	03	True	already_released	True	YES	
sub-019	ses-01	05	True	already_released	True	YES	
sub-019	ses-01	07	True	already_released	True	YES	
sub-019	ses-02	03	True	already_released	True	YES	
sub-019	ses-02	01	True	already_released	True	YES	
sub-019	ses-02	07	True	already_released	True	YES	
sub-019	ses-02	05	True	already_released	True	YES	
sub-064	ses-01	07	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-064	ses-01	05	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-064	ses-01	03	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-064	ses-01	01	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-013	ses-01	01	True	already_released	True	YES	
sub-013	ses-01	03	True	already_released	True	YES	
sub-013	ses-01	05	True	already_released	True	YES	
sub-013	ses-01	07	False	reconstructable_with_mapping_fix	True	YES	
sub-021	ses-02	01	True	already_released	True	YES	
sub-021	ses-02	03	True	already_released	True	YES	
sub-021	ses-02	05	True	already_released	True	YES	
sub-021	ses-02	07	True	already_released	True	YES	
sub-021	ses-01	03	True	already_released	True	YES	
sub-021	ses-01	01	True	already_released	True	YES	
sub-021	ses-01	07	True	already_released	True	YES	
sub-021	ses-01	05	True	already_released	True	YES	
sub-056	ses-01	07	True	already_released	True	YES	
sub-056	ses-01	05	True	already_released	True	YES	
sub-056	ses-01	03	True	already_released	True	YES	
sub-056	ses-01	01	True	already_released	True	YES	
sub-077	ses-01	01	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-077	ses-01	03	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-077	ses-01	05	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-077	ses-01	07	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-032	ses-01	05	True	already_released	True	YES	
sub-032	ses-01	07	True	already_released	True	YES	
sub-032	ses-01	01	False	reconstructable_with_mapping_fix	True	YES	
sub-032	ses-01	03	False	reconstructable_with_mapping_fix	True	YES	
sub-045	ses-01	07	True	already_released	True	YES	
sub-045	ses-01	05	True	already_released	True	YES	
sub-045	ses-01	03	True	already_released	True	YES	
sub-045	ses-01	01	True	already_released	True	YES	
sub-038	ses-02	02	False	reconstructable_with_mapping_fix	True	YES	
sub-038	ses-02	06	True	already_released	True	YES	
sub-038	ses-02	04	False	reconstructable_with_mapping_fix	True	YES	
sub-038	ses-02	08	True	already_released	True	YES	
sub-038	ses-02	10	True	already_released	True	YES	
sub-038	ses-01	01	True	already_released	True	YES	
sub-038	ses-01	03	True	already_released	True	YES	
sub-038	ses-01	05	True	already_released	True	YES	
sub-038	ses-01	07	True	already_released	True	YES	
sub-036	ses-01	01	True	already_released	True	YES	
sub-036	ses-01	03	True	already_released	True	YES	
sub-036	ses-01	05	True	already_released	True	YES	
sub-036	ses-01	07	True	already_released	True	YES	
sub-036	ses-02	01	True	already_released	True	YES	
sub-036	ses-02	03	True	already_released	True	YES	
sub-036	ses-02	05	True	already_released	True	YES	
sub-036	ses-02	07	True	already_released	True	YES	
sub-041	ses-01	09	False	reconstructable_with_mapping_fix	True	YES	
sub-041	ses-01	05	True	already_released	True	YES	
sub-041	ses-01	07	False	reconstructable_with_mapping_fix	True	YES	
sub-041	ses-01	01	True	already_released	True	YES	
sub-041	ses-01	03	True	already_released	True	YES	
sub-041	ses-02	03	True	already_released	True	YES	
sub-041	ses-02	01	True	already_released	True	YES	
sub-041	ses-02	07	True	already_released	True	YES	
sub-041	ses-02	05	True	already_released	True	YES	
sub-079	ses-01	05	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-079	ses-01	07	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-079	ses-01	01	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-079	ses-01	03	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-073	ses-01	05	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-073	ses-01	07	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-073	ses-01	01	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-073	ses-01	03	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-004	ses-02	05	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-004	ses-02	07	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-004	ses-02	01	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-004	ses-02	03	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-004	ses-01	05	True	already_released	True	YES	
sub-004	ses-01	07	True	already_released	True	YES	
sub-004	ses-01	01	True	already_released	True	YES	
