subject	session	release_relative_path	original_release_size	replacement_file	status	json_source	notes
sub-056	ses-01	sub-056/ses-01/anat/sub-056_ses-01_run-01_TB1TFL.nii.gz	58223	/home/alexrees/scratch/derivatives/defacing/sub-056/ses-01/anat/sub-056_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 58223 -> 68300
sub-056	ses-01	sub-056/ses-01/anat/sub-056_ses-01_run-02_TB1TFL.nii.gz	57082	/home/alexrees/scratch/derivatives/defacing/sub-056/ses-01/anat/sub-056_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 57082 -> 67322
sub-056	ses-01	sub-056/ses-01/anat/sub-056_ses-01_run-03_TB1TFL.nii.gz	78306	/home/alexrees/scratch/derivatives/defacing/sub-056/ses-01/anat/sub-056_ses-01_run-03_TB1TFL.nii.gz	REPLACED	defacing	size 78306 -> 19379
sub-056	ses-01	sub-056/ses-01/anat/sub-056_ses-01_run-04_TB1TFL.nii.gz	86707	/home/alexrees/scratch/derivatives/defacing/sub-056/ses-01/anat/sub-056_ses-01_run-04_TB1TFL.nii.gz	REPLACED	defacing	size 86707 -> 17682
sub-057	ses-01	sub-057/ses-01/anat/sub-057_ses-01_run-01_TB1TFL.nii.gz	83061	/home/alexrees/scratch/derivatives/defacing/sub-057/ses-01/anat/sub-057_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 83061 -> 80698
sub-057	ses-01	sub-057/ses-01/anat/sub-057_ses-01_run-02_TB1TFL.nii.gz	79101	/home/alexrees/scratch/derivatives/defacing/sub-057/ses-01/anat/sub-057_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 79101 -> 22461
sub-057	ses-02	sub-057/ses-02/anat/sub-057_ses-02_run-01_TB1TFL.nii.gz	82075	/home/alexrees/scratch/derivatives/defacing/sub-057/ses-02/anat/sub-057_ses-02_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 82075 -> 81217
sub-057	ses-02	sub-057/ses-02/anat/sub-057_ses-02_run-02_TB1TFL.nii.gz	79811	/home/alexrees/scratch/derivatives/defacing/sub-057/ses-02/anat/sub-057_ses-02_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 79811 -> 22178
sub-058	ses-01	sub-058/ses-01/anat/sub-058_ses-01_run-01_TB1TFL.nii.gz	85133	/home/alexrees/scratch/derivatives/defacing/sub-058/ses-01/anat/sub-058_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 85133 -> 86554
sub-058	ses-01	sub-058/ses-01/anat/sub-058_ses-01_run-02_TB1TFL.nii.gz	79183	/home/alexrees/scratch/derivatives/defacing/sub-058/ses-01/anat/sub-058_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 79183 -> 21504
sub-059	ses-01	sub-059/ses-01/anat/sub-059_ses-01_run-01_TB1TFL.nii.gz	80867	/home/alexrees/scratch/derivatives/defacing/sub-059/ses-01/anat/sub-059_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 80867 -> 74862
sub-059	ses-01	sub-059/ses-01/anat/sub-059_ses-01_run-02_TB1TFL.nii.gz	79364	/home/alexrees/scratch/derivatives/defacing/sub-059/ses-01/anat/sub-059_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 79364 -> 14339
sub-060	ses-01	sub-060/ses-01/anat/sub-060_ses-01_run-01_TB1TFL.nii.gz	78930	/home/alexrees/scratch/derivatives/defacing/sub-060/ses-01/anat/sub-060_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 78930 -> 76392
sub-060	ses-01	sub-060/ses-01/anat/sub-060_ses-01_run-02_TB1TFL.nii.gz	77837	/home/alexrees/scratch/derivatives/defacing/sub-060/ses-01/anat/sub-060_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 77837 -> 19773
sub-061	ses-01	sub-061/ses-01/anat/sub-061_ses-01_run-01_TB1TFL.nii.gz	63773	/home/alexrees/scratch/derivatives/defacing/sub-061/ses-01/anat/sub-061_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 63773 -> 67263
sub-061	ses-01	sub-061/ses-01/anat/sub-061_ses-01_run-02_TB1TFL.nii.gz	62159	/home/alexrees/scratch/derivatives/defacing/sub-061/ses-01/anat/sub-061_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 62159 -> 65196
sub-061	ses-01	sub-061/ses-01/anat/sub-061_ses-01_run-03_TB1TFL.nii.gz	83396	/home/alexrees/scratch/derivatives/defacing/sub-061/ses-01/anat/sub-061_ses-01_run-03_TB1TFL.nii.gz	REPLACED	defacing	size 83396 -> 18857
sub-061	ses-01	sub-061/ses-01/anat/sub-061_ses-01_run-04_TB1TFL.nii.gz	87187	/home/alexrees/scratch/derivatives/defacing/sub-061/ses-01/anat/sub-061_ses-01_run-04_TB1TFL.nii.gz	REPLACED	defacing	size 87187 -> 18550
sub-062	ses-01	sub-062/ses-01/anat/sub-062_ses-01_run-01_TB1TFL.nii.gz	85609	/home/alexrees/scratch/derivatives/defacing/sub-062/ses-01/anat/sub-062_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 85609 -> 18162
sub-062	ses-01	sub-062/ses-01/anat/sub-062_ses-01_run-02_TB1TFL.nii.gz	68376	/home/alexrees/scratch/derivatives/defacing/sub-062/ses-01/anat/sub-062_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 68376 -> 75524
sub-062	ses-01	sub-062/ses-01/anat/sub-062_ses-01_run-03_TB1TFL.nii.gz	66659	/home/alexrees/scratch/derivatives/defacing/sub-062/ses-01/anat/sub-062_ses-01_run-03_TB1TFL.nii.gz	REPLACED	defacing	size 66659 -> 73708
sub-062	ses-01	sub-062/ses-01/anat/sub-062_ses-01_run-04_TB1TFL.nii.gz	83371	/home/alexrees/scratch/derivatives/defacing/sub-062/ses-01/anat/sub-062_ses-01_run-04_TB1TFL.nii.gz	REPLACED	defacing	size 83371 -> 17989
sub-063	ses-01	sub-063/ses-01/anat/sub-063_ses-01_run-01_TB1TFL.nii.gz	87235	/home/alexrees/scratch/derivatives/defacing/sub-063/ses-01/anat/sub-063_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 87235 -> 21907
sub-063	ses-01	sub-063/ses-01/anat/sub-063_ses-01_run-02_TB1TFL.nii.gz	58227	/home/alexrees/scratch/derivatives/defacing/sub-063/ses-01/anat/sub-063_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 58227 -> 65713
sub-063	ses-01	sub-063/ses-01/anat/sub-063_ses-01_run-03_TB1TFL.nii.gz	57320	/home/alexrees/scratch/derivatives/defacing/sub-063/ses-01/anat/sub-063_ses-01_run-03_TB1TFL.nii.gz	REPLACED	defacing	size 57320 -> 65477
sub-063	ses-01	sub-063/ses-01/anat/sub-063_ses-01_run-04_TB1TFL.nii.gz	79977	/home/alexrees/scratch/derivatives/defacing/sub-063/ses-01/anat/sub-063_ses-01_run-04_TB1TFL.nii.gz	REPLACED	defacing	size 79977 -> 21447
sub-064	ses-01	sub-064/ses-01/anat/sub-064_ses-01_run-01_TB1TFL.nii.gz	86010	/home/alexrees/scratch/derivatives/defacing/sub-064/ses-01/anat/sub-064_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 86010 -> 89414
sub-064	ses-01	sub-064/ses-01/anat/sub-064_ses-01_run-02_TB1TFL.nii.gz	77810	/home/alexrees/scratch/derivatives/defacing/sub-064/ses-01/anat/sub-064_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 77810 -> 23163
sub-064	ses-02	sub-064/ses-02/anat/sub-064_ses-02_run-01_TB1TFL.nii.gz	86407	/home/alexrees/scratch/derivatives/defacing/sub-064/ses-02/anat/sub-064_ses-02_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 86407 -> 89002
sub-064	ses-02	sub-064/ses-02/anat/sub-064_ses-02_run-02_TB1TFL.nii.gz	79622	/home/alexrees/scratch/derivatives/defacing/sub-064/ses-02/anat/sub-064_ses-02_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 79622 -> 19303
sub-065	ses-01	sub-065/ses-01/anat/sub-065_ses-01_run-01_TB1TFL.nii.gz	84016	/home/alexrees/scratch/derivatives/defacing/sub-065/ses-01/anat/sub-065_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 84016 -> 87912
sub-065	ses-01	sub-065/ses-01/anat/sub-065_ses-01_run-02_TB1TFL.nii.gz	78153	/home/alexrees/scratch/derivatives/defacing/sub-065/ses-01/anat/sub-065_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 78153 -> 29522
sub-066	ses-01	sub-066/ses-01/anat/sub-066_ses-01_run-01_TB1TFL.nii.gz	82973	/home/alexrees/scratch/derivatives/defacing/sub-066/ses-01/anat/sub-066_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 82973 -> 90965
sub-066	ses-01	sub-066/ses-01/anat/sub-066_ses-01_run-02_TB1TFL.nii.gz	80302	/home/alexrees/scratch/derivatives/defacing/sub-066/ses-01/anat/sub-066_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 80302 -> 19376
sub-066	ses-02	sub-066/ses-02/anat/sub-066_ses-02_run-01_TB1TFL.nii.gz	91810	/home/alexrees/scratch/derivatives/defacing/sub-066/ses-02/anat/sub-066_ses-02_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 91810 -> 96670
sub-066	ses-02	sub-066/ses-02/anat/sub-066_ses-02_run-02_TB1TFL.nii.gz	82944	/home/alexrees/scratch/derivatives/defacing/sub-066/ses-02/anat/sub-066_ses-02_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 82944 -> 17513
sub-067	ses-01	sub-067/ses-01/anat/sub-067_ses-01_run-01_TB1TFL.nii.gz	83056	/home/alexrees/scratch/derivatives/defacing/sub-067/ses-01/anat/sub-067_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 83056 -> 77723
sub-067	ses-01	sub-067/ses-01/anat/sub-067_ses-01_run-02_TB1TFL.nii.gz	79794	/home/alexrees/scratch/derivatives/defacing/sub-067/ses-01/anat/sub-067_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 79794 -> 19099
sub-067	ses-02	sub-067/ses-02/anat/sub-067_ses-02_run-01_TB1TFL.nii.gz	87350	/home/alexrees/scratch/derivatives/defacing/sub-067/ses-02/anat/sub-067_ses-02_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 87350 -> 82655
sub-067	ses-02	sub-067/ses-02/anat/sub-067_ses-02_run-02_TB1TFL.nii.gz	81157	/home/alexrees/scratch/derivatives/defacing/sub-067/ses-02/anat/sub-067_ses-02_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 81157 -> 20194
