participant	session	modality	nifti_path	json_path	release_json_relative	json_exists	status	detail
sub-012	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-012/ses-01/anat/sub-012_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-012/ses-01/anat/sub-012_ses-01_run-03_T1w.json	sub-012/ses-01/anat/sub-012_ses-01_run-03_T1w.json	yes	OK	
sub-012	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-012/ses-02/anat/sub-012_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-012/ses-02/anat/sub-012_ses-02_run-01_T1w.json	sub-012/ses-02/anat/sub-012_ses-02_run-01_T1w.json	yes	OK	
sub-012	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-012/ses-02/anat/sub-012_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-012/ses-02/anat/sub-012_ses-02_run-02_T1w.json	sub-012/ses-02/anat/sub-012_ses-02_run-02_T1w.json	yes	OK	
sub-012	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-012/ses-02/anat/sub-012_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-012/ses-02/anat/sub-012_ses-02_run-03_T1w.json	sub-012/ses-02/anat/sub-012_ses-02_run-03_T1w.json	yes	OK	
sub-013	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-013/ses-01/anat/sub-013_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-013/ses-01/anat/sub-013_ses-01_run-01_T1w.json	sub-013/ses-01/anat/sub-013_ses-01_run-01_T1w.json	yes	OK	
sub-013	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-013/ses-01/anat/sub-013_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-013/ses-01/anat/sub-013_ses-01_run-02_T1w.json	sub-013/ses-01/anat/sub-013_ses-01_run-02_T1w.json	yes	OK	
sub-013	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-013/ses-01/anat/sub-013_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-013/ses-01/anat/sub-013_ses-01_run-03_T1w.json	sub-013/ses-01/anat/sub-013_ses-01_run-03_T1w.json	yes	OK	
sub-014	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-014/ses-01/anat/sub-014_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-014/ses-01/anat/sub-014_ses-01_run-01_T1w.json	sub-014/ses-01/anat/sub-014_ses-01_run-01_T1w.json	yes	OK	
sub-014	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-014/ses-01/anat/sub-014_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-014/ses-01/anat/sub-014_ses-01_run-02_T1w.json	sub-014/ses-01/anat/sub-014_ses-01_run-02_T1w.json	yes	OK	
sub-014	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-014/ses-01/anat/sub-014_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-014/ses-01/anat/sub-014_ses-01_run-03_T1w.json	sub-014/ses-01/anat/sub-014_ses-01_run-03_T1w.json	yes	OK	
sub-015	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-015/ses-01/anat/sub-015_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-015/ses-01/anat/sub-015_ses-01_run-01_T1w.json	sub-015/ses-01/anat/sub-015_ses-01_run-01_T1w.json	yes	OK	
sub-015	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-015/ses-01/anat/sub-015_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-015/ses-01/anat/sub-015_ses-01_run-02_T1w.json	sub-015/ses-01/anat/sub-015_ses-01_run-02_T1w.json	yes	OK	
sub-015	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-015/ses-01/anat/sub-015_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-015/ses-01/anat/sub-015_ses-01_run-03_T1w.json	sub-015/ses-01/anat/sub-015_ses-01_run-03_T1w.json	yes	OK	
sub-015	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-015/ses-02/anat/sub-015_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-015/ses-02/anat/sub-015_ses-02_run-01_T1w.json	sub-015/ses-02/anat/sub-015_ses-02_run-01_T1w.json	yes	OK	
sub-015	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-015/ses-02/anat/sub-015_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-015/ses-02/anat/sub-015_ses-02_run-02_T1w.json	sub-015/ses-02/anat/sub-015_ses-02_run-02_T1w.json	yes	OK	
sub-015	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-015/ses-02/anat/sub-015_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-015/ses-02/anat/sub-015_ses-02_run-03_T1w.json	sub-015/ses-02/anat/sub-015_ses-02_run-03_T1w.json	yes	OK	
sub-016	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-016/ses-01/anat/sub-016_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-016/ses-01/anat/sub-016_ses-01_run-01_T1w.json	sub-016/ses-01/anat/sub-016_ses-01_run-01_T1w.json	yes	OK	
sub-016	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-016/ses-01/anat/sub-016_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-016/ses-01/anat/sub-016_ses-01_run-02_T1w.json	sub-016/ses-01/anat/sub-016_ses-01_run-02_T1w.json	yes	OK	
sub-016	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-016/ses-01/anat/sub-016_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-016/ses-01/anat/sub-016_ses-01_run-03_T1w.json	sub-016/ses-01/anat/sub-016_ses-01_run-03_T1w.json	yes	OK	
sub-016	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-016/ses-02/anat/sub-016_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-016/ses-02/anat/sub-016_ses-02_run-01_T1w.json	sub-016/ses-02/anat/sub-016_ses-02_run-01_T1w.json	yes	OK	
