priority_basis	rank	image_identifier	subject	session	run	filename	model_estimated_artifact_probability	model_uncertainty	model_confidence	image_path
high_model_estimated_artifact_probability	56	sub-048_ses-02_run-01_T1w.nii.gz	sub-048	ses-02	01	sub-048_ses-02_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-048/ses-02/anat/sub-048_ses-02_run-01_T1w.nii.gz
high_model_estimated_artifact_probability	57	sub-048_ses-01_run-03_T1w.nii.gz	sub-048	ses-01	03	sub-048_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-048/ses-01/anat/sub-048_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	58	sub-048_ses-01_run-01_T1w.nii.gz	sub-048	ses-01	01	sub-048_ses-01_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-048/ses-01/anat/sub-048_ses-01_run-01_T1w.nii.gz
high_model_estimated_artifact_probability	59	sub-047_ses-01_run-03_T1w.nii.gz	sub-047	ses-01	03	sub-047_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-047/ses-01/anat/sub-047_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	60	sub-046_ses-02_run-03_T1w.nii.gz	sub-046	ses-02	03	sub-046_ses-02_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-046/ses-02/anat/sub-046_ses-02_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	61	sub-046_ses-01_run-03_T1w.nii.gz	sub-046	ses-01	03	sub-046_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-046/ses-01/anat/sub-046_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	62	sub-044_ses-01_run-03_T1w.nii.gz	sub-044	ses-01	03	sub-044_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-044/ses-01/anat/sub-044_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	63	sub-043_ses-02_run-06_T1w.nii.gz	sub-043	ses-02	06	sub-043_ses-02_run-06_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-043/ses-02/anat/sub-043_ses-02_run-06_T1w.nii.gz
high_model_estimated_artifact_probability	64	sub-043_ses-02_run-03_T1w.nii.gz	sub-043	ses-02	03	sub-043_ses-02_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-043/ses-02/anat/sub-043_ses-02_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	65	sub-043_ses-02_run-01_T1w.nii.gz	sub-043	ses-02	01	sub-043_ses-02_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-043/ses-02/anat/sub-043_ses-02_run-01_T1w.nii.gz
high_model_estimated_artifact_probability	66	sub-042_ses-01_run-03_T1w.nii.gz	sub-042	ses-01	03	sub-042_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-042/ses-01/anat/sub-042_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	67	sub-041_ses-02_run-03_T1w.nii.gz	sub-041	ses-02	03	sub-041_ses-02_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-041/ses-02/anat/sub-041_ses-02_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	68	sub-041_ses-01_run-03_T1w.nii.gz	sub-041	ses-01	03	sub-041_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-041/ses-01/anat/sub-041_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	69	sub-040_ses-02_run-03_T1w.nii.gz	sub-040	ses-02	03	sub-040_ses-02_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-040/ses-02/anat/sub-040_ses-02_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	70	sub-040_ses-02_run-01_T1w.nii.gz	sub-040	ses-02	01	sub-040_ses-02_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-040/ses-02/anat/sub-040_ses-02_run-01_T1w.nii.gz
high_model_estimated_artifact_probability	71	sub-040_ses-01_run-03_T1w.nii.gz	sub-040	ses-01	03	sub-040_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-040/ses-01/anat/sub-040_ses-01_run-03_T1w.nii.gz
