subject	session	run	task	series_description	bids_target	timing_source	timing_variables	status	confidence
sub-020	ses-01	02	movie	Movie1_AP	sub-020_ses-01_task-movie_run-02_bold	September-09-2023_10-55-41_AM__Subject_is_c21__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat;September-09-2023_10-56-16_AM__scan_info_for_subject_c21__selected_run_is_1__fmri_number_is1.mat;September-09-2023_10-56-31_AM__Subject_is_c21__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat	grating_timing_present_but_not_matched	NOT_APPLICABLE	n/a
sub-020	ses-01	03	movie	Movie2_AP	sub-020_ses-01_task-movie_run-03_bold	September-09-2023_10-55-41_AM__Subject_is_c21__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat;September-09-2023_10-56-16_AM__scan_info_for_subject_c21__selected_run_is_1__fmri_number_is1.mat;September-09-2023_10-56-31_AM__Subject_is_c21__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat	grating_timing_present_but_not_matched	NOT_APPLICABLE	n/a
sub-020	ses-01	04	movie	Movie2_AP	sub-020_ses-01_task-movie_run-04_bold	September-09-2023_10-55-41_AM__Subject_is_c21__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat;September-09-2023_10-56-16_AM__scan_info_for_subject_c21__selected_run_is_1__fmri_number_is1.mat;September-09-2023_10-56-31_AM__Subject_is_c21__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat	grating_timing_present_but_not_matched	NOT_APPLICABLE	n/a
sub-020	ses-01	05	fmri	fMRI1_AP	sub-020_ses-01_task-fmri_run-05_bold	runs_random.mat	paradigm;vbl	MISSING_TIMING	low
sub-020	ses-01	05	movie	Movie3_AP	sub-020_ses-01_task-movie_run-05_bold	September-09-2023_10-55-41_AM__Subject_is_c21__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat;September-09-2023_10-56-16_AM__scan_info_for_subject_c21__selected_run_is_1__fmri_number_is1.mat;September-09-2023_10-56-31_AM__Subject_is_c21__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat	grating_timing_present_but_not_matched	NOT_APPLICABLE	n/a
sub-020	ses-01	06	movie	Movie3_AP	sub-020_ses-01_task-movie_run-06_bold	September-09-2023_10-55-41_AM__Subject_is_c21__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat;September-09-2023_10-56-16_AM__scan_info_for_subject_c21__selected_run_is_1__fmri_number_is1.mat;September-09-2023_10-56-31_AM__Subject_is_c21__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat	grating_timing_present_but_not_matched	NOT_APPLICABLE	n/a
sub-020	ses-01	07	movie	Movie4_AP	sub-020_ses-01_task-movie_run-07_bold	September-09-2023_10-55-41_AM__Subject_is_c21__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat;September-09-2023_10-56-16_AM__scan_info_for_subject_c21__selected_run_is_1__fmri_number_is1.mat;September-09-2023_10-56-31_AM__Subject_is_c21__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat	grating_timing_present_but_not_matched	NOT_APPLICABLE	n/a
sub-020	ses-01	06	fmri	fMRI1_AP	sub-020_ses-01_task-fmri_run-06_bold	runs_random.mat	paradigm;vbl	MISSING_TIMING	low
sub-020	ses-01	08	movie	Movie4_AP	sub-020_ses-01_task-movie_run-08_bold	September-09-2023_10-55-41_AM__Subject_is_c21__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat;September-09-2023_10-56-16_AM__scan_info_for_subject_c21__selected_run_is_1__fmri_number_is1.mat;September-09-2023_10-56-31_AM__Subject_is_c21__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat	grating_timing_present_but_not_matched	NOT_APPLICABLE	n/a
sub-020	ses-01	01	rest	REST1_AP	sub-020_ses-01_task-rest_run-01_bold	September-09-2023_10-55-41_AM__Subject_is_c21__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat;September-09-2023_10-56-16_AM__scan_info_for_subject_c21__selected_run_is_1__fmri_number_is1.mat;September-09-2023_10-56-31_AM__Subject_is_c21__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat	grating_timing_present_but_not_matched	NOT_APPLICABLE	n/a
sub-020	ses-01	02	rest	REST1_AP	sub-020_ses-01_task-rest_run-02_bold	September-09-2023_10-55-41_AM__Subject_is_c21__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat;September-09-2023_10-56-16_AM__scan_info_for_subject_c21__selected_run_is_1__fmri_number_is1.mat;September-09-2023_10-56-31_AM__Subject_is_c21__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat	grating_timing_present_but_not_matched	NOT_APPLICABLE	n/a
