subject	session	physio_uid	target_stem	target_bold_exists	target_already_has_trigger	start_time_missing	ambiguous
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.202305241058101434110561.0.0.0	sub-005_ses-01_task-movie_run-03	True	False	True	False
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.202305241106048118060811.0.0.0	sub-005_ses-01_task-movie_run-07	True	False	True	False
sub-005	ses-01	1.3.12.2.1107.5.2.43.166092.2023052411105034806835936.0.0.0	sub-005_ses-01_task-rest_run-01	True	False	True	False
sub-006	ses-01	1.3.12.2.1107.5.2.43.166092.2023052509292966267361989.0.0.0	sub-006_ses-01_task-control_run-01	True	False	True	False
sub-006	ses-01	1.3.12.2.1107.5.2.43.166092.2023052510235142134748549.0.0.0	sub-006_ses-01_task-control_run-03	True	False	True	False
sub-006	ses-01	1.3.12.2.1107.5.2.43.166092.2023052510260928694856036.0.0.0	sub-006_ses-01_task-control_run-05	True	False	True	False
sub-006	ses-01	1.3.12.2.1107.5.2.43.166092.2023052509203417005600347.0.0.0	sub-006_ses-01_task-fmri_run-05	True	False	True	False
sub-006	ses-01	1.3.12.2.1107.5.2.43.166092.2023052509245457146781168.0.0.0	sub-006_ses-01_task-fmri_run-07	True	False	True	False
sub-006	ses-01	1.3.12.2.1107.5.2.43.166092.2023052509304281523269474.0.0.0	sub-006_ses-01_task-fmri_run-01	True	False	True	False
sub-006	ses-01	1.3.12.2.1107.5.2.43.166092.2023052509352048428750295.0.0.0	sub-006_ses-01_task-fmri_run-03	True	False	True	False
sub-006	ses-01	1.3.12.2.1107.5.2.43.166092.2023052509402761330131116.0.0.0	sub-006_ses-01_task-movie_run-01	True	False	True	False
sub-006	ses-01	1.3.12.2.1107.5.2.43.166092.2023052509442839743506241.0.0.0	sub-006_ses-01_task-movie_run-03	True	False	True	False
sub-006	ses-01	1.3.12.2.1107.5.2.43.166092.2023052509490937747081366.0.0.0	sub-006_ses-01_task-movie_run-05	True	False	True	False
sub-006	ses-01	1.3.12.2.1107.5.2.43.166092.2023052509532297127256491.0.0.0	sub-006_ses-01_task-movie_run-07	True	False	True	False
sub-006	ses-01	1.3.12.2.1107.5.2.43.166092.2023052510004322114231616.0.0.0	sub-006_ses-01_task-rest_run-01	True	False	True	False
sub-010	ses-01	1.3.12.2.1107.5.2.43.166092.2023070515161845176270618.0.0.0	sub-010_ses-01_task-control_run-01	True	False	True	False
sub-010	ses-01	1.3.12.2.1107.5.2.43.166092.202307051609349300789009.0.0.0	sub-010_ses-01_task-control_run-03	True	False	True	False
sub-010	ses-01	1.3.12.2.1107.5.2.43.166092.2023070516113536584196511.0.0.0	sub-010_ses-01_task-control_run-05	True	False	True	False
sub-010	ses-01	1.3.12.2.1107.5.2.43.166092.2023070515064729559808976.0.0.0	sub-010_ses-01_task-fmri_run-05	True	False	True	False
sub-010	ses-01	1.3.12.2.1107.5.2.43.166092.2023070515103516321789797.0.0.0	sub-010_ses-01_task-fmri_run-07	True	False	True	False
sub-010	ses-01	1.3.12.2.1107.5.2.43.166092.202307051517276111278103.0.0.0	sub-010_ses-01_task-fmri_run-01	True	False	True	False
sub-010	ses-01	1.3.12.2.1107.5.2.43.166092.2023070515212441866958924.0.0.0	sub-010_ses-01_task-fmri_run-03	True	False	True	False
sub-010	ses-01	1.3.12.2.1107.5.2.43.166092.2023070515275152600240469.0.0.0				True	True
sub-010	ses-01	1.3.12.2.1107.5.2.43.166092.2023070515312342276859992.0.0.0				True	True
sub-010	ses-01	1.3.12.2.1107.5.2.43.166092.2023070515402414141672817.0.0.0	sub-010_ses-01_task-rest_run-01	True	False	True	False
sub-011	ses-01	1.3.12.2.1107.5.2.43.166092.2023071112340453825661990.0.0.0	sub-011_ses-01_task-control_run-01	True	False	True	False
sub-011	ses-01	1.3.12.2.1107.5.2.43.166092.2023071113343859344050128.0.0.0	sub-011_ses-01_task-control_run-03	True	False	True	False
sub-011	ses-01	1.3.12.2.1107.5.2.43.166092.2023071113365347799957616.0.0.0	sub-011_ses-01_task-control_run-05	True	False	True	False
sub-011	ses-01	1.3.12.2.1107.5.2.43.166092.2023071112253351050800348.0.0.0	sub-011_ses-01_task-fmri_run-07	True	False	True	False
sub-011	ses-01	1.3.12.2.1107.5.2.43.166092.2023071112295831428881169.0.0.0	sub-011_ses-01_task-fmri_run-09	True	False	True	False
sub-011	ses-01	1.3.12.2.1107.5.2.43.166092.2023071112351847085369475.0.0.0	sub-011_ses-01_task-fmri_run-01	True	False	True	False
sub-011	ses-01	1.3.12.2.1107.5.2.43.166092.2023071112404744670151020.0.0.0				True	True
sub-011	ses-01	1.3.12.2.1107.5.2.43.166092.2023071112414254918652615.0.0.0				True	True
sub-011	ses-01	1.3.12.2.1107.5.2.43.166092.2023071112532133537333436.0.0.0	sub-011_ses-01_task-movie_run-01	True	False	True	False
sub-011	ses-01	1.3.12.2.1107.5.2.43.166092.2023071113021360198008561.0.0.0	sub-011_ses-01_task-movie_run-03	True	False	True	False
sub-011	ses-01	1.3.12.2.1107.5.2.43.166092.2023071113063598001683686.0.0.0	sub-011_ses-01_task-movie_run-05	True	False	True	False
