bold_stem	subject	session	task	run	has_pulse	has_resp
sub-046_ses-01_task-fmri_run-07	sub-046	ses-01	fmri	07	0	0
sub-046_ses-01_task-fmri_run-09	sub-046	ses-01	fmri	09	0	0
sub-046_ses-02_task-control_run-03	sub-046	ses-02	control	03	0	0
sub-046_ses-02_task-control_run-05	sub-046	ses-02	control	05	0	0
sub-050_ses-01_task-control_run-03	sub-050	ses-01	control	03	0	0
sub-050_ses-01_task-control_run-05	sub-050	ses-01	control	05	0	0
sub-051_ses-01_task-control_run-03	sub-051	ses-01	control	03	0	0
sub-051_ses-01_task-control_run-05	sub-051	ses-01	control	05	0	0
sub-054_ses-01_task-control_run-03	sub-054	ses-01	control	03	0	0
sub-054_ses-01_task-control_run-05	sub-054	ses-01	control	05	0	0
sub-054_ses-02_task-control_run-01	sub-054	ses-02	control	01	0	0
sub-054_ses-02_task-control_run-03	sub-054	ses-02	control	03	0	0
sub-054_ses-02_task-control_run-05	sub-054	ses-02	control	05	0	0
sub-054_ses-02_task-fmri_run-01	sub-054	ses-02	fmri	01	0	0
sub-054_ses-02_task-fmri_run-03	sub-054	ses-02	fmri	03	0	0
sub-054_ses-02_task-fmri_run-05	sub-054	ses-02	fmri	05	0	0
sub-054_ses-02_task-fmri_run-07	sub-054	ses-02	fmri	07	0	0
sub-054_ses-02_task-movie_run-01	sub-054	ses-02	movie	01	0	0
sub-054_ses-02_task-movie_run-03	sub-054	ses-02	movie	03	0	0
sub-054_ses-02_task-movie_run-05	sub-054	ses-02	movie	05	0	0
sub-054_ses-02_task-movie_run-07	sub-054	ses-02	movie	07	0	0
sub-054_ses-02_task-rest_run-01	sub-054	ses-02	rest	01	0	0
sub-055_ses-01_task-movie_run-05	sub-055	ses-01	movie	05	0	0
sub-056_ses-01_task-control_run-01	sub-056	ses-01	control	01	0	0
sub-056_ses-01_task-control_run-02	sub-056	ses-01	control	02	0	0
sub-056_ses-01_task-control_run-05	sub-056	ses-01	control	05	0	0
sub-056_ses-01_task-fmri_run-01	sub-056	ses-01	fmri	01	0	0
sub-056_ses-01_task-fmri_run-03	sub-056	ses-01	fmri	03	0	0
sub-056_ses-01_task-fmri_run-05	sub-056	ses-01	fmri	05	0	0
sub-056_ses-01_task-fmri_run-07	sub-056	ses-01	fmri	07	0	0
sub-056_ses-01_task-movie_run-01	sub-056	ses-01	movie	01	0	0
sub-056_ses-01_task-movie_run-03	sub-056	ses-01	movie	03	0	0
sub-056_ses-01_task-movie_run-05	sub-056	ses-01	movie	05	0	0
sub-056_ses-01_task-movie_run-07	sub-056	ses-01	movie	07	0	0
sub-056_ses-01_task-rest_run-01	sub-056	ses-01	rest	01	0	0
sub-057_ses-01_task-control_run-03	sub-057	ses-01	control	03	0	0
sub-057_ses-01_task-control_run-05	sub-057	ses-01	control	05	0	0
sub-059_ses-01_task-control_run-03	sub-059	ses-01	control	03	0	0
sub-059_ses-01_task-control_run-05	sub-059	ses-01	control	05	0	0
sub-060_ses-01_task-control_run-03	sub-060	ses-01	control	03	0	0
sub-060_ses-01_task-control_run-05	sub-060	ses-01	control	05	0	0
sub-061_ses-01_task-control_run-02	sub-061	ses-01	control	02	0	0
sub-061_ses-01_task-control_run-04	sub-061	ses-01	control	04	0	0
sub-061_ses-01_task-control_run-06	sub-061	ses-01	control	06	0	0
sub-061_ses-01_task-fmri_run-01	sub-061	ses-01	fmri	01	0	0
sub-061_ses-01_task-fmri_run-03	sub-061	ses-01	fmri	03	0	0
sub-061_ses-01_task-fmri_run-05	sub-061	ses-01	fmri	05	0	0
sub-061_ses-01_task-fmri_run-07	sub-061	ses-01	fmri	07	0	0
sub-061_ses-01_task-fmri_run-09	sub-061	ses-01	fmri	09	0	0
sub-061_ses-01_task-movie_run-01	sub-061	ses-01	movie	01	0	0
sub-061_ses-01_task-movie_run-03	sub-061	ses-01	movie	03	0	0
sub-061_ses-01_task-movie_run-05	sub-061	ses-01	movie	05	0	0
sub-061_ses-01_task-movie_run-07	sub-061	ses-01	movie	07	0	0
sub-061_ses-01_task-rest_run-01	sub-061	ses-01	rest	01	0	0
sub-062_ses-01_task-control_run-01	sub-062	ses-01	control	01	0	0
sub-062_ses-01_task-control_run-03	sub-062	ses-01	control	03	0	0
sub-062_ses-01_task-control_run-05	sub-062	ses-01	control	05	0	0
sub-062_ses-01_task-fmri_run-01	sub-062	ses-01	fmri	01	0	0
sub-062_ses-01_task-fmri_run-03	sub-062	ses-01	fmri	03	0	0
sub-062_ses-01_task-fmri_run-05	sub-062	ses-01	fmri	05	0	0
sub-062_ses-01_task-fmri_run-07	sub-062	ses-01	fmri	07	0	0
