subject	session	protocol	series_number	series_time	has_EXT	sampling_frequency	start_time	n_samples	trigger_count	first_trigger	last_trigger	trigger_interval_mean	trigger_interval_std	unique_values	usable_for_sync	usable_for_stimulus_onset	comments	filepath
sub-013	ses-01	Movie1_AP	25	105639.323000	yes	125.000000	15680858	462	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC13-Session1-2023JUL17/TROL_2023JUL17_23_07_17-09_57_42-DST-1_3_12_2_1107_5_2_43_166092/DR_SHMUEL_COMPLETE_PROTOCOL_20230717_095958_470000/MOVIE1_AP_PHYSIOLOG_0025/SUBC_CONTROL_2023JUL17.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0025.0001.2023.07.21.14.03.09.368664.13646981.IMA
sub-012	ses-01	Movie2_AP	37	104411.040000	yes	125.000000	15381204	462	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC12-Session01-2023JUL12/SUBC12_SESSION01_2023JUL12_NII/MOVIE2_AP_PHYSIOLOG_0037/SUBC12_CONTROL_SESSION01_2023JUL12.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0037.0001.2023.07.12.12.24.02.953830.11024469.IMA
sub-014	ses-01	Movie2_AP	29	135948.563000	yes	125.000000	20076301	463	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC14-Session1-2023JUL19/TROL_2023JUL19_23_07_19-13_24_36-DST-1_3_12_2_1107_5_2_43_166092/DR_SHMUEL_COMPLETE_PROTOCOL_20230719_132713_060000/MOVIE2_AP_PHYSIOLOG_0029/SUBC14_CONTROL_2023JUL19.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0029.0001.2023.07.21.14.02.29.697395.15591555.IMA
sub-007	ses-02	Movie2_AP	29	152632.693000	yes	125.000000	22157894	452	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC07-Session2-2023NOV24/SUBC07-Session2-2023NOV24-NII/MOVIE2_AP_PHYSIOLOG_0029/SUB07-SESSION2-2023NOV24.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0029.0001.2023.11.24.16.13.41.954524.73988249.IMA
sub-014	ses-01	Movie1_AP	25	135535.858000	yes	125.000000	19975229	462	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC14-Session1-2023JUL19/TROL_2023JUL19_23_07_19-13_24_36-DST-1_3_12_2_1107_5_2_43_166092/DR_SHMUEL_COMPLETE_PROTOCOL_20230719_132713_060000/MOVIE1_AP_PHYSIOLOG_0025/SUBC14_CONTROL_2023JUL19.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0025.0001.2023.07.21.14.02.29.697395.15540353.IMA
sub-013	ses-01	Movie4_AP	37	110839.205000	yes	125.000000	15968819	462	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC13-Session1-2023JUL17/TROL_2023JUL17_23_07_17-09_57_42-DST-1_3_12_2_1107_5_2_43_166092/DR_SHMUEL_COMPLETE_PROTOCOL_20230717_095958_470000/MOVIE4_AP_PHYSIOLOG_0037/SUBC_CONTROL_2023JUL17.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0037.0001.2023.07.21.14.03.09.368664.13794449.IMA
sub-011	ses-02	Movie4_AP	43	112336.415000	yes	125.000000	16327652	452	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC11_Session02_2024JAN10/SUBC11_SESSION02_2024JAN10-NII/MOVIE4_AP_PHYSIOLOG_0043/SUBC11_SESSION02_2024JAN10.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0043.0001.2024.02.03.13.08.57.865185.10154067.IMA
sub-014	ses-01	Movie3_AP	37	140450.137000	yes	125.000000	20196979	462	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC14-Session1-2023JUL19/TROL_2023JUL19_23_07_19-13_24_36-DST-1_3_12_2_1107_5_2_43_166092/DR_SHMUEL_COMPLETE_PROTOCOL_20230719_132713_060000/MOVIE3_AP_PHYSIOLOG_0037/SUBC14_CONTROL_2023JUL19.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0037.0001.2023.07.21.14.02.29.697395.15643785.IMA
sub-012	ses-02	Movie2_AP	34	115423.207000	yes	125.000000	17066401	452	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC12_Session02_2024JAN09/SUBC12_SESSION02_2024JAN09-NII/MOVIE2_AP_PHYSIOLOG_0034/SUBC12_SESSION2_2024JAN09.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0034.0001.2024.02.03.12.51.58.482879.9401429.IMA
sub-015	ses-01	Movie1_AP	25	100608.412000	yes	125.000000	14468487	463	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC15-Session1-2023AUG07/SUBC15_Session01_2023AUG07_Data/MOVIE1_AP_PHYSIOLOG_0025/SUBC015_CONTROL_SESSION01_2023AUG07.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0025.0001.2023.08.08.14.34.24.73131.20172871.IMA
sub-014	ses-01	Movie4_AP	41	140854.458000	yes	125.000000	20294561	462	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC14-Session1-2023JUL19/TROL_2023JUL19_23_07_19-13_24_36-DST-1_3_12_2_1107_5_2_43_166092/DR_SHMUEL_COMPLETE_PROTOCOL_20230719_132713_060000/MOVIE4_AP_PHYSIOLOG_0041/SUBC14_CONTROL_2023JUL19.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0041.0001.2023.07.21.14.02.29.697395.15693963.IMA
sub-012	ses-02	Movie1_AP	25	114738.281000	yes	125.000000	16904068	452	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC12_Session02_2024JAN09/SUBC12_SESSION02_2024JAN09-NII/MOVIE1_AP_PHYSIOLOG_0025/SUBC12_SESSION2_2024JAN09.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0025.0001.2024.02.03.12.51.58.482879.9344071.IMA
sub-015	ses-02	Movie2_AP	29	170752.157000	yes	125.000000	24590038	452	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC15_Session02_2024FEB08/SUBC15_SESSION02_2024FEB08_NII/MOVIE2_AP_PHYSIOLOG_0029/SUBC15_SESSION02_2024FEB8.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0029.0001.2024.02.09.15.18.51.797232.22884639.IMA
sub-011	ses-02	Movie1_AP	27	111031.530000	yes	125.000000	16013538	452	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC11_Session02_2024JAN10/SUBC11_SESSION02_2024JAN10-NII/MOVIE1_AP_PHYSIOLOG_0027/SUBC11_SESSION02_2024JAN10.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0027.0001.2024.02.03.13.08.57.865185.10000457.IMA
sub-015	ses-01	Movie4_AP	41	101928.959000	yes	125.000000	14788554	466	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC15-Session1-2023AUG07/SUBC15_Session01_2023AUG07_Data/MOVIE4_AP_PHYSIOLOG_0041/SUBC015_CONTROL_SESSION01_2023AUG07.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0041.0001.2023.08.08.14.34.24.73131.20326481.IMA
sub-013	ses-01	Movie3_AP	33	110452.212000	yes	125.000000	15877896	463	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC13-Session1-2023JUL17/TROL_2023JUL17_23_07_17-09_57_42-DST-1_3_12_2_1107_5_2_43_166092/DR_SHMUEL_COMPLETE_PROTOCOL_20230717_095958_470000/MOVIE3_AP_PHYSIOLOG_0033/SUBC_CONTROL_2023JUL17.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0033.0001.2023.07.21.14.03.09.368664.13745289.IMA
sub-011	ses-02	Movie2_AP	31	111433.634000	yes	125.000000	16110557	444	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC11_Session02_2024JAN10/SUBC11_SESSION02_2024JAN10-NII/MOVIE2_AP_PHYSIOLOG_0031/SUBC11_SESSION02_2024JAN10.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0031.0001.2024.02.03.13.08.57.865185.10050635.IMA
sub-011	ses-02	Movie3_AP	39	111934.638000	yes	125.000000	16231049	445	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC11_Session02_2024JAN10/SUBC11_SESSION02_2024JAN10-NII/MOVIE3_AP_PHYSIOLOG_0039/SUBC11_SESSION02_2024JAN10.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0039.0001.2024.02.03.13.08.57.865185.10103895.IMA
sub-015	ses-02	Movie1_AP	25	170348.321000	yes	125.000000	24492218	452	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC15_Session02_2024FEB08/SUBC15_SESSION02_2024FEB08_NII/MOVIE1_AP_PHYSIOLOG_0025/SUBC15_SESSION02_2024FEB8.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0025.0001.2024.02.09.15.18.51.797232.22835485.IMA
sub-016	ses-01	Movie3_AP	37	150541.113000	yes	125.000000	21657446	462	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC16-Session1-2023AUG08/SUBC16_Session01_2023AUG08_Data/MOVIE3_AP_PHYSIOLOG_0037/SUBC16_CONTROL_2023AUG08.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0037.0001.2023.08.08.16.29.32.103247.21344431.IMA
sub-015	ses-02	Movie3_AP	37	171327.918000	yes	125.000000	24724059	452	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC15_Session02_2024FEB08/SUBC15_SESSION02_2024FEB08_NII/MOVIE3_AP_PHYSIOLOG_0037/SUBC15_SESSION02_2024FEB8.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0037.0001.2024.02.09.15.18.51.797232.22936869.IMA
